house,country,wealth_index,hh_size,migrant_num,any_remit,migrant_hh,migrant_loc,hh_months,remit,census_tract,lat,long,district
140,south_africa,-0.7202750298087616,3,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
141,south_africa,-0.05896421160260268,4,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
144,south_africa,0.8305438386902965,4,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
147,south_africa,-2.3671475056169116,6,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
148,south_africa,-1.321796829415647,1,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
149,south_africa,-0.6176537808441724,5,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
150,south_africa,-0.4702817787497735,1,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
151,south_africa,-1.9075411760991556,1,2,1,hh,national,NA,1,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
151,south_africa,-1.9075411760991556,1,2,1,hh,national,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
152,south_africa,-3.0798619282093718,7,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
153,south_africa,-2.4442060920082316,6,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
154,south_africa,-2.290088919225591,2,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
155,south_africa,-2.0010417187308907,1,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
156,south_africa,-0.8969136544546996,2,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
157,south_africa,1.336944309442104,5,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
158,south_africa,0.480445893136638,4,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
159,south_africa,0.7127421971909307,4,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
160,south_africa,1.813914827866143,2,0,1,non-hh,national,NA,1,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
