house,district,census_tract,country,wealth_index,hh_size,migrant_num,any_remit,migrant_hh,migrant_loc,hh_months,remit,lat,long
1868,podor,fanaye,senegal,0.241473579033217,9,1,1,hh,international,120,1,16.52599054,-15.22269493
1547,kanel,yula,senegal,-0.611094893035148,21,2,1,hh,international,60,1,NA,NA
1547,kanel,yula,senegal,-0.611094893035148,21,2,1,hh,international,84,NA,NA,NA
151,thies,hersent,senegal,-0.165049257729101,11,1,NA,hh,national,36,NA,NA,NA
118,rufisque,castor,senegal,2.02360942792982,7,0,NA,NA,NA,NA,NA,14.72704,-17.4436
1812,st-louis,pikine,senegal,1.17541763899989,7,0,NA,NA,NA,NA,NA,NA,NA
399,guediawaye,cite des enseignants,senegal,1.91617438581684,6,0,NA,NA,NA,NA,NA,14.77683245,-17.40519022
510,dakar,pa unite 11,senegal,1.97183867080589,3,0,NA,NA,NA,NA,NA,14.75896766,-17.43245729
932,kebemer,medina,senegal,0.647174755654521,9,3,1,hh,national,60,1,NA,NA
932,kebemer,medina,senegal,0.647174755654521,9,3,1,hh,national,36,1,NA,NA
932,kebemer,medina,senegal,0.647174755654521,9,3,1,hh,national,15,NA,NA,NA
658,mbour,tefess,senegal,1.27156333080148,12,0,NA,NA,NA,NA,NA,NA,NA
1305,mbacke,darou khoudoss,senegal,1.3203757589469,7,6,1,hh,national,168,1,14.8653417,-15.87905597
1305,mbacke,darou khoudoss,senegal,1.3203757589469,7,6,1,hh,national,60,NA,14.8653417,-15.87905597
1305,mbacke,darou khoudoss,senegal,1.3203757589469,7,6,1,hh,national,24,NA,14.8653417,-15.87905597
1305,mbacke,darou khoudoss,senegal,1.3203757589469,7,6,1,hh,national,6,NA,14.8653417,-15.87905597
1305,mbacke,darou khoudoss,senegal,1.3203757589469,7,6,1,hh,national,1,NA,14.8653417,-15.87905597
