,house,district,census_tract,country,date,hh_size,migrant_num,wealth_index,remit,lat,long,lat_SPEI,long_SPEI,NDVI_lat,NDVI_lon,sev_lat,sev_lon,pop_cent_lat,pop_cent_long,annual_frequency,severity,autocorrelation,avg_area,NDVI_mean,SVI_severity
81,83,kisii,kerera,kenya,2009-11-10,10,1,3.193469296126573,0.0,-0.754425695,34.82872552,-0.75,34.85,-0.75,34.85,-0.75,34.85,-0.74192679,34.83335642,3.0,-0.3159813642501831,-0.24444444444444438,330437240.1493505,0.23355444253592078,-0.020550983725064968
82,84,kisii,kerera,kenya,2009-11-10,9,1,3.2636546150518924,1.0,-0.754425695,34.82872552,-0.75,34.85,-0.75,34.85,-0.75,34.85,-0.74192679,34.83335642,3.0,-0.3159813642501831,-0.24444444444444438,330437240.1493505,0.23355444253592078,-0.020550983725064968
83,85,kisii,irianyi,kenya,2009-11-09,4,6,1.259615843267385,1.0,-0.662238252,34.85472107,-0.65,34.85,-0.65,34.85,-0.65,34.85,-0.670594976,34.83335642,2.8,-0.3546004039900644,-0.2347826086956522,300490300.2912524,0.22434341876625327,-0.042685082959821034
84,86,kisii,irianyi,kenya,2009-11-09,3,2,2.8027770833051355,1.0,-0.662238252,34.85472107,-0.65,34.85,-0.65,34.85,-0.65,34.85,-0.670594976,34.83335642,2.8,-0.3546004039900644,-0.2347826086956522,300490300.2912524,0.22434341876625327,-0.042685082959821034
85,87,kisii,irianyi,kenya,2009-11-09,3,5,3.3181636003811668,1.0,-0.662238252,34.85472107,-0.65,34.85,-0.65,34.85,-0.65,34.85,-0.670594976,34.83335642,2.8,-0.3546004039900644,-0.2347826086956522,300490300.2912524,0.22434341876625327,-0.042685082959821034
86,88,kisii,bomakombi,kenya,2009-11-10,3,3,0.1889702908936,1.0,-0.70441522,34.69546123,-0.7,34.7,-0.7,34.7,-0.7,34.7,-0.695549267,34.69940774,1.2,-0.23560301462809244,-0.0777777777777778,700261152.4223269,0.23300606041451694,0.15756949598715767
87,89,kisii,nyokabaria,kenya,2009-11-08,3,2,-0.5851816564055679,1.0,-0.674091366,34.77188889,-0.65,34.75,-0.65,34.75,-0.65,34.75,-0.676960482,34.77155706,1.4,-0.33233790738242014,-0.0830188679245283,600382392.1085595,0.2288142145992161,0.04283250205776184
88,90,kisii,nyokabaria,kenya,2009-11-08,5,3,0.828346444114828,1.0,-0.674091366,34.77188889,-0.65,34.75,-0.65,34.75,-0.65,34.75,-0.676960482,34.77155706,1.4,-0.33233790738242014,-0.0830188679245283,600382392.1085595,0.2288142145992161,0.04283250205776184
89,91,kisii,irianyi,kenya,2009-11-08,5,2,2.535388502035112,1.0,-0.662238252,34.85472107,-0.65,34.85,-0.65,34.85,-0.65,34.85,-0.670594976,34.83335642,2.8,-0.3546004039900644,-0.2347826086956522,300490300.2912524,0.22434341876625327,-0.042685082959821034
90,92,kisii,irianyi,kenya,2009-11-09,4,1,3.073151606540311,1.0,-0.662238252,34.85472107,-0.65,34.85,-0.65,34.85,-0.65,34.85,-0.670594976,34.83335642,2.8,-0.3546004039900644,-0.2347826086956522,300490300.2912524,0.22434341876625327,-0.042685082959821034
