house,district,census_tract,country,date,wealth_index,hh_size,migrant_num,any_remit,migrant_hh,migrant_loc,hh_months,remit,lat,long
69,kisii,irianyi,kenya,2009-11-08,0.8734655777096763,7,7,1,hh,national,120,1,-0.662238252,34.85472107
69,kisii,irianyi,kenya,2009-11-08,0.8734655777096763,7,7,1,hh,national,60,NA,-0.662238252,34.85472107
69,kisii,irianyi,kenya,2009-11-08,0.8734655777096763,7,7,1,hh,national,72,NA,-0.662238252,34.85472107
69,kisii,irianyi,kenya,2009-11-08,0.8734655777096763,7,7,1,hh,national,12,NA,-0.662238252,34.85472107
69,kisii,irianyi,kenya,2009-11-08,0.8734655777096763,7,7,1,hh,international,72,1,-0.662238252,34.85472107
69,kisii,irianyi,kenya,2009-11-08,0.8734655777096763,7,7,1,hh,international,120,1,-0.662238252,34.85472107
69,kisii,irianyi,kenya,2009-11-08,0.8734655777096763,7,7,1,hh,national,72,1,-0.662238252,34.85472107
69,kisii,irianyi,kenya,2009-11-08,0.8734655777096763,7,7,1,non-hh,national,NA,1,-0.662238252,34.85472107
70,kisii,irianyi,kenya,2009-11-08,1.4898844699738059,6,6,1,hh,international,120,1,-0.662238252,34.85472107
70,kisii,irianyi,kenya,2009-11-08,1.4898844699738059,6,6,1,hh,national,48,NA,-0.662238252,34.85472107
70,kisii,irianyi,kenya,2009-11-08,1.4898844699738059,6,6,1,hh,national,96,NA,-0.662238252,34.85472107
70,kisii,irianyi,kenya,2009-11-08,1.4898844699738059,6,6,1,hh,national,36,NA,-0.662238252,34.85472107
70,kisii,irianyi,kenya,2009-11-08,1.4898844699738059,6,6,1,hh,national,60,1,-0.662238252,34.85472107
70,kisii,irianyi,kenya,2009-11-08,1.4898844699738059,6,6,1,hh,national,60,1,-0.662238252,34.85472107
71,kisii,kerera,kenya,2009-11-09,1.5892435912424487,6,1,1,hh,international,NA,1,-0.754425695,34.82872552
72,kisii,kerera,kenya,2009-11-09,-0.48023665210324507,4,2,NA,hh,international,120,NA,-0.754425695,34.82872552
72,kisii,kerera,kenya,2009-11-09,-0.48023665210324507,4,2,NA,hh,international,24,NA,-0.754425695,34.82872552
73,kisii,kerera,kenya,2009-11-09,0.7230830954741525,7,4,1,hh,national,48,1,-0.754425695,34.82872552
73,kisii,kerera,kenya,2009-11-09,0.7230830954741525,7,4,1,hh,national,24,NA,-0.754425695,34.82872552
73,kisii,kerera,kenya,2009-11-09,0.7230830954741525,7,4,1,hh,international,60,1,-0.754425695,34.82872552
73,kisii,kerera,kenya,2009-11-09,0.7230830954741525,7,4,1,hh,international,120,1,-0.754425695,34.82872552
74,kisii,kerera,kenya,2009-11-09,1.0725906946937882,4,4,1,hh,national,12,1,-0.754425695,34.82872552
74,kisii,kerera,kenya,2009-11-09,1.0725906946937882,4,4,1,hh,international,108,1,-0.754425695,34.82872552
74,kisii,kerera,kenya,2009-11-09,1.0725906946937882,4,4,1,hh,international,180,1,-0.754425695,34.82872552
74,kisii,kerera,kenya,2009-11-09,1.0725906946937882,4,4,1,hh,national,24,NA,-0.754425695,34.82872552
75,kisii,bonyanchaire,kenya,2009-11-08,-0.5551022340090022,3,3,1,hh,international,83,1,-0.678288351,34.70904985
75,kisii,bonyanchaire,kenya,2009-11-08,-0.5551022340090022,3,3,1,hh,national,38,NA,-0.678288351,34.70904985
75,kisii,bonyanchaire,kenya,2009-11-08,-0.5551022340090022,3,3,1,hh,national,18,NA,-0.678288351,34.70904985
76,kisii,bonyanchaire,kenya,2009-11-09,-0.5400625228107194,5,6,1,hh,national,242,1,-0.678288351,34.70904985
76,kisii,bonyanchaire,kenya,2009-11-09,-0.5400625228107194,5,6,1,hh,international,150,1,-0.678288351,34.70904985
76,kisii,bonyanchaire,kenya,2009-11-09,-0.5400625228107194,5,6,1,hh,national,103,1,-0.678288351,34.70904985
76,kisii,bonyanchaire,kenya,2009-11-09,-0.5400625228107194,5,6,1,hh,national,124,1,-0.678288351,34.70904985
76,kisii,bonyanchaire,kenya,2009-11-09,-0.5400625228107194,5,6,1,hh,national,116,1,-0.678288351,34.70904985
76,kisii,bonyanchaire,kenya,2009-11-09,-0.5400625228107194,5,6,1,hh,national,58,1,-0.678288351,34.70904985
77,kisii,bonyanchaire,kenya,2009-11-09,3.133310451333442,7,1,1,hh,international,40,1,-0.678288351,34.70904985
78,kisii,bonyanchaire,kenya,2009-11-09,2.0052709870498373,3,5,1,hh,national,340,NA,-0.678288351,34.70904985
78,kisii,bonyanchaire,kenya,2009-11-09,2.0052709870498373,3,5,1,hh,international,159,NA,-0.678288351,34.70904985
78,kisii,bonyanchaire,kenya,2009-11-09,2.0052709870498373,3,5,1,hh,national,122,NA,-0.678288351,34.70904985
78,kisii,bonyanchaire,kenya,2009-11-09,2.0052709870498373,3,5,1,hh,national,124,NA,-0.678288351,34.70904985
78,kisii,bonyanchaire,kenya,2009-11-09,2.0052709870498373,3,5,1,hh,national,246,1,-0.678288351,34.70904985
79,kisii,kerera,kenya,2009-11-09,3.073151606540311,4,1,NA,hh,international,27,NA,-0.754425695,34.82872552
80,kisii,kerera,kenya,2009-11-09,0.9035450001062417,9,1,1,hh,international,100,1,-0.754425695,34.82872552
80,kisii,kerera,kenya,2009-11-09,0.9035450001062417,9,1,1,non-hh,national,NA,1,-0.754425695,34.82872552
81,kisii,kerera,kenya,2009-11-10,0.868452340643582,5,2,1,hh,international,60,1,-0.754425695,34.82872552
81,kisii,kerera,kenya,2009-11-10,0.868452340643582,5,2,1,hh,international,156,1,-0.754425695,34.82872552
81,kisii,kerera,kenya,2009-11-10,0.868452340643582,5,2,1,non-hh,international,NA,1,-0.754425695,34.82872552
81,kisii,kerera,kenya,2009-11-10,0.868452340643582,5,2,1,non-hh,national,NA,1,-0.754425695,34.82872552
82,kisii,kerera,kenya,2009-11-09,1.9691756801739586,2,1,1,hh,international,20,1,-0.754425695,34.82872552
83,kisii,kerera,kenya,2009-11-10,3.193469296126573,10,1,NA,hh,national,36,NA,-0.754425695,34.82872552
84,kisii,kerera,kenya,2009-11-10,3.2636546150518924,9,1,1,hh,national,107,1,-0.754425695,34.82872552
85,kisii,irianyi,kenya,2009-11-09,1.259615843267385,4,6,1,hh,national,264,1,-0.662238252,34.85472107
85,kisii,irianyi,kenya,2009-11-09,1.259615843267385,4,6,1,hh,national,48,1,-0.662238252,34.85472107
85,kisii,irianyi,kenya,2009-11-09,1.259615843267385,4,6,1,hh,national,72,1,-0.662238252,34.85472107
85,kisii,irianyi,kenya,2009-11-09,1.259615843267385,4,6,1,hh,national,72,1,-0.662238252,34.85472107
85,kisii,irianyi,kenya,2009-11-09,1.259615843267385,4,6,1,hh,national,144,1,-0.662238252,34.85472107
85,kisii,irianyi,kenya,2009-11-09,1.259615843267385,4,6,1,hh,national,60,NA,-0.662238252,34.85472107
86,kisii,irianyi,kenya,2009-11-09,2.8027770833051355,3,2,1,hh,national,36,1,-0.662238252,34.85472107
86,kisii,irianyi,kenya,2009-11-09,2.8027770833051355,3,2,1,hh,national,24,1,-0.662238252,34.85472107
86,kisii,irianyi,kenya,2009-11-09,2.8027770833051355,3,2,1,non-hh,national,NA,1,-0.662238252,34.85472107
86,kisii,irianyi,kenya,2009-11-09,2.8027770833051355,3,2,1,non-hh,international,NA,1,-0.662238252,34.85472107
86,kisii,irianyi,kenya,2009-11-09,2.8027770833051355,3,2,1,non-hh,national,NA,1,-0.662238252,34.85472107
87,kisii,irianyi,kenya,2009-11-09,3.3181636003811668,3,5,1,hh,national,204,1,-0.662238252,34.85472107
87,kisii,irianyi,kenya,2009-11-09,3.3181636003811668,3,5,1,hh,national,120,1,-0.662238252,34.85472107
87,kisii,irianyi,kenya,2009-11-09,3.3181636003811668,3,5,1,hh,national,240,1,-0.662238252,34.85472107
87,kisii,irianyi,kenya,2009-11-09,3.3181636003811668,3,5,1,hh,national,2,1,-0.662238252,34.85472107
87,kisii,irianyi,kenya,2009-11-09,3.3181636003811668,3,5,1,hh,national,360,NA,-0.662238252,34.85472107
88,kisii,bomakombi,kenya,2009-11-10,0.18897029089360007,3,3,1,hh,national,369,1,-0.70441522,34.69546123
88,kisii,bomakombi,kenya,2009-11-10,0.18897029089360007,3,3,1,hh,international,34,1,-0.70441522,34.69546123
88,kisii,bomakombi,kenya,2009-11-10,0.18897029089360007,3,3,1,hh,international,47,NA,-0.70441522,34.69546123
89,kisii,nyokabaria,kenya,2009-11-08,-0.5851816564055679,3,2,1,hh,international,111,1,-0.674091366,34.77188889
89,kisii,nyokabaria,kenya,2009-11-08,-0.5851816564055679,3,2,1,hh,national,7,1,-0.674091366,34.77188889
90,kisii,nyokabaria,kenya,2009-11-08,0.828346444114828,5,3,1,hh,national,120,1,-0.674091366,34.77188889
90,kisii,nyokabaria,kenya,2009-11-08,0.828346444114828,5,3,1,hh,international,44,NA,-0.674091366,34.77188889
90,kisii,nyokabaria,kenya,2009-11-08,0.828346444114828,5,3,1,hh,national,36,NA,-0.674091366,34.77188889
91,kisii,irianyi,kenya,2009-11-08,2.535388502035112,5,2,1,hh,national,120,1,-0.662238252,34.85472107
91,kisii,irianyi,kenya,2009-11-08,2.535388502035112,5,2,1,hh,national,60,1,-0.662238252,34.85472107
91,kisii,irianyi,kenya,2009-11-08,2.535388502035112,5,2,1,non-hh,national,NA,1,-0.662238252,34.85472107
92,kisii,irianyi,kenya,2009-11-09,3.073151606540311,4,1,1,hh,national,28,1,-0.662238252,34.85472107
92,kisii,irianyi,kenya,2009-11-09,3.073151606540311,4,1,1,non-hh,national,NA,1,-0.662238252,34.85472107
93,kisii,bomakombi,kenya,2009-11-10,2.33441633205044,4,2,1,hh,national,249,1,-0.70441522,34.69546123
93,kisii,bomakombi,kenya,2009-11-10,2.33441633205044,4,2,1,hh,international,34,NA,-0.70441522,34.69546123
94,kisii,bomakombi,kenya,2009-11-10,1.769720125621842,4,1,1,hh,national,120,1,-0.70441522,34.69546123
95,kisii,bomakombi,kenya,2009-11-10,0.3092879804798621,6,1,1,hh,national,186,1,-0.70441522,34.69546123
98,kisii,bonyanchaire,kenya,2009-11-08,3.053098658275934,2,3,1,hh,national,60,1,-0.678288351,34.70904985
98,kisii,bonyanchaire,kenya,2009-11-08,3.053098658275934,2,3,1,hh,national,7,1,-0.678288351,34.70904985
99,kisii,bonyanchaire,kenya,2009-11-09,0.8584258665113935,6,1,1,hh,national,63,1,-0.678288351,34.70904985
100,kisii,bomakombi,kenya,2009-11-10,0.24912913568673106,4,3,1,hh,national,100,1,-0.70441522,34.69546123
100,kisii,bomakombi,kenya,2009-11-10,0.24912913568673106,4,3,1,hh,national,82,NA,-0.70441522,34.69546123
100,kisii,bomakombi,kenya,2009-11-10,0.24912913568673106,4,3,1,hh,national,82,NA,-0.70441522,34.69546123
101,kisii,bomakombi,kenya,2009-11-10,3.848320831000001,4,1,1,hh,national,27,1,-0.70441522,34.69546123
102,kisii,bomakombi,kenya,2009-11-10,0.05618958918432876,4,2,1,hh,national,51,1,-0.70441522,34.69546123
102,kisii,bomakombi,kenya,2009-11-10,0.05618958918432876,4,2,1,hh,national,34,1,-0.70441522,34.69546123
103,kisii,bonyanchaire,kenya,2009-11-09,-0.7449882863481838,5,1,1,hh,national,46,1,-0.678288351,34.70904985
104,kisii,bonyanchaire,kenya,2009-11-08,1.5049241811720886,5,1,NA,hh,national,28,NA,-0.678288351,34.70904985
105,kisii,kerera,kenya,2009-11-09,3.192563676073331,5,5,1,hh,national,228,1,-0.754425695,34.82872552
105,kisii,kerera,kenya,2009-11-09,3.192563676073331,5,5,1,hh,national,24,1,-0.754425695,34.82872552
105,kisii,kerera,kenya,2009-11-09,3.192563676073331,5,5,1,hh,national,24,1,-0.754425695,34.82872552
105,kisii,kerera,kenya,2009-11-09,3.192563676073331,5,5,1,hh,national,60,1,-0.754425695,34.82872552
105,kisii,kerera,kenya,2009-11-09,3.192563676073331,5,5,1,hh,national,48,1,-0.754425695,34.82872552
105,kisii,kerera,kenya,2009-11-09,3.192563676073331,5,5,1,non-hh,international,NA,1,-0.754425695,34.82872552
106,kisii,kerera,kenya,2009-11-09,0.9185847113045247,5,1,1,hh,national,12,1,-0.754425695,34.82872552
