house,district,census_tract,country,date,hh_size,migrant_num,wealth_index,remit,lat,long
172,kiambu,mutundu,kenya,2009-11-09,4,0,1.332599495468207,1,-1.170374442,36.83007059
173,nairobi,outering,kenya,2009-11-04,2,0,-1.7564656390199396,NA,-1.267001706,36.88035515
174,nairobi,muthaiga,kenya,2009-11-06,1,0,-3.1265531526487473,NA,-1.254882111,36.83204676
175,nairobi,muthaiga,kenya,2009-11-06,1,2,-2.3264801197356197,0,-1.254882111,36.83204676
176,nairobi,muthaiga,kenya,2009-11-06,2,2,-3.4035488351681895,1,-1.254882111,36.83204676
177,nairobi,muthaiga,kenya,2009-11-07,1,1,-3.7765941370225953,1,-1.254882111,36.83204676
178,nairobi,muthaiga,kenya,2009-11-06,1,0,-0.9850889789593994,NA,-1.254882111,36.83204676
179,nairobi,muthaiga,kenya,2009-11-07,4,1,-3.458465366671068,0,-1.254882111,36.83204676
180,nairobi,muthaiga,kenya,2009-11-07,2,0,-0.9252548746194414,NA,-1.254882111,36.83204676
181,nairobi,muthaiga,kenya,2009-11-06,3,3,-2.3953579422511555,0,-1.254882111,36.83204676
182,nairobi,muthaiga,kenya,2009-11-07,1,0,-1.6716320553470816,NA,-1.254882111,36.83204676
183,nairobi,muthaiga,kenya,2009-11-07,2,1,-3.782577547456591,0,-1.254882111,36.83204676
184,nairobi,muthaiga,kenya,2009-11-07,2,1,-3.7765941370225953,0,-1.254882111,36.83204676
185,nairobi,muthaiga,kenya,2009-11-07,2,2,-3.7765941370225953,0,-1.254882111,36.83204676
186,nairobi,muthaiga,kenya,2009-11-07,2,0,-1.5818808988371447,NA,-1.254882111,36.83204676
187,nairobi,muthaiga,kenya,2009-11-07,1,1,-3.4284797119765047,1,-1.254882111,36.83204676
189,nairobi,muthaiga,kenya,2009-11-07,3,3,-3.40753777545752,0,-1.254882111,36.83204676
190,nairobi,muthaiga,kenya,2009-11-06,1,0,-1.6417150031771026,NA,-1.254882111,36.83204676
191,nairobi,outering,kenya,2009-11-04,5,3,-1.6267564770921132,0,-1.267001706,36.88035515
192,nairobi,outering,kenya,2009-11-04,5,0,-1.6267564770921132,NA,-1.267001706,36.88035515
193,nairobi,outering,kenya,2009-11-04,4,2,-2.2296948967147245,1,-1.267001706,36.88035515
194,nairobi,outering,kenya,2009-11-04,8,2,-1.8206262406071736,1,-1.267001706,36.88035515
195,nairobi,outering,kenya,2009-11-03,3,2,-2.4207788405754824,1,-1.267001706,36.88035515
196,nairobi,outering,kenya,2009-11-03,3,1,-2.405820314490493,1,-1.267001706,36.88035515
197,nairobi,outering,kenya,2009-11-04,3,0,-1.7066038854033079,NA,-1.267001706,36.88035515
199,nairobi,outering,kenya,2009-11-04,7,1,-1.5869356767233922,1,-1.267001706,36.88035515
200,nairobi,outering,kenya,2009-11-03,5,1,-2.665888369478238,1,-1.267001706,36.88035515
202,nairobi,outering,kenya,2009-11-04,5,0,-3.0837406470630286,1,-1.267001706,36.88035515
203,nairobi,outering,kenya,2009-11-03,3,1,-2.739371590656706,0,-1.267001706,36.88035515
204,nairobi,outering,kenya,2009-11-04,5,0,-2.316069157980556,NA,-1.267001706,36.88035515
205,nairobi,outering,kenya,2009-11-03,1,2,-3.10860292134676,1,-1.267001706,36.88035515
206,nairobi,outering,kenya,2009-11-04,4,3,-3.073811530166328,0,-1.267001706,36.88035515
207,nairobi,outering,kenya,2009-11-04,1,3,-2.545501827141645,1,-1.267001706,36.88035515
208,nairobi,outering,kenya,2009-11-03,4,2,-2.962627072092574,1,-1.267001706,36.88035515
209,nairobi,outering,kenya,2009-11-04,3,0,-3.1884503296579547,NA,-1.267001706,36.88035515
210,nairobi,outering,kenya,2009-11-07,1,0,-1.6417150031771026,NA,-1.267001706,36.88035515
211,kiambu,guthunguri,kenya,2009-11-11,4,1,-0.8578311219511111,0,-1.058419348,36.773918020000004
212,kiambu,guthunguri,kenya,2009-11-11,3,1,-2.5155847749716664,0,-1.058419348,36.773918020000004
213,kiambu,guthunguri,kenya,2009-11-11,3,0,-1.0190112680101227,1,-1.058419348,36.773918020000004
214,kiambu,guthunguri,kenya,2009-11-11,2,0,-1.971700101574233,NA,-1.058419348,36.773918020000004
215,kiambu,guthunguri,kenya,2009-11-11,5,0,-0.899438370632642,1,-1.058419348,36.773918020000004
216,kiambu,guthunguri,kenya,2009-11-11,3,0,-3.0592483812864506,1,-1.058419348,36.773918020000004
217,kiambu,guthunguri,kenya,2009-11-11,2,0,-0.9592724749725997,NA,-1.058419348,36.773918020000004
218,kiambu,guthunguri,kenya,2009-11-11,5,0,-0.8495766170160103,NA,-1.058419348,36.773918020000004
219,kiambu,guthunguri,kenya,2009-11-11,2,1,-1.6616597046237553,0,-1.058419348,36.773918020000004
220,kiambu,guthunguri,kenya,2009-11-11,1,2,-2.779260993550011,0,-1.058419348,36.773918020000004
221,kiambu,guthunguri,kenya,2009-11-11,4,0,-1.5818808988371447,NA,-1.058419348,36.773918020000004
222,kiambu,guthunguri,kenya,2009-11-11,3,1,-2.405820314490493,1,-1.058419348,36.773918020000004
223,kiambu,guthunguri,kenya,2009-11-11,4,1,-1.592248626765583,1,-1.058419348,36.773918020000004
224,kiambu,guthunguri,kenya,2009-11-11,4,0,-1.9118659972342746,NA,-1.058419348,36.773918020000004
225,kiambu,guthunguri,kenya,2009-11-11,3,1,-0.9850889789593994,0,-1.058419348,36.773918020000004
226,kiambu,guthunguri,kenya,2009-11-11,7,1,-0.7897425126760523,1,-1.058419348,36.773918020000004
