,house,district,census_tract,country,hh_size,migrant_num,wealth_index,remit,lat,long,lat_regrid,long_regrid,intensity,magnitude,duration,frequency,severity,dispersion
1833,1923,ebonyi,ugwu-egu,nigeria,5,0,0.4724053968307201,,6.2977,8.0834,6.3,8.1,-1.4808393716812134,-1.5149343013763428,1.5,0.3333333333333333,-2.1363805532455444,-0.33333333333333326
1834,1924,ebonyi,ugwu-egu,nigeria,8,0,-3.640240006334214,,6.2977,8.0834,6.3,8.1,-1.4808393716812134,-1.5149343013763428,1.5,0.3333333333333333,-2.1363805532455444,-0.33333333333333326
1835,1925,ebonyi,ugwu-egu,nigeria,4,0,-0.409465774186913,,6.2977,8.0834,6.3,8.1,-1.4808393716812134,-1.5149343013763428,1.5,0.3333333333333333,-2.1363805532455444,-0.33333333333333326
1836,1926,ebonyi,ugwu-egu,nigeria,8,0,-2.930234611787498,,6.2977,8.0834,6.3,8.1,-1.4808393716812134,-1.5149343013763428,1.5,0.3333333333333333,-2.1363805532455444,-0.33333333333333326
1837,1927,ebonyi,ugwu-egu,nigeria,3,0,-4.084621054997347,1.0,6.2977,8.0834,6.3,8.1,-1.4808393716812134,-1.5149343013763428,1.5,0.3333333333333333,-2.1363805532455444,-0.33333333333333326
1838,1928,imo,umudagu,nigeria,4,0,0.7262414189933718,1.0,5.528352921,7.045245737,5.55,7.05,-1.8893773555755615,-1.8893773555755615,1.0,0.16666666666666666,-1.8893773555755615,-0.1666666666666664
1839,1929,imo,umudagu,nigeria,6,1,0.3431184308552556,0.0,5.528352921,7.045245737,5.55,7.05,-1.8893773555755615,-1.8893773555755615,1.0,0.16666666666666666,-1.8893773555755615,-0.1666666666666664
1840,1930,imo,umudagu,nigeria,5,3,1.9058905616239323,1.0,5.528352921,7.045245737,5.55,7.05,-1.8893773555755615,-1.8893773555755615,1.0,0.16666666666666666,-1.8893773555755615,-0.1666666666666664
1841,1931,imo,umudagu,nigeria,2,1,-0.5574876871911628,1.0,5.528352921,7.045245737,5.55,7.05,-1.8893773555755615,-1.8893773555755615,1.0,0.16666666666666666,-1.8893773555755615,-0.1666666666666664
1842,1932,imo,umudagu,nigeria,4,1,2.768348899955558,1.0,5.528352921,7.045245737,5.55,7.05,-1.8893773555755615,-1.8893773555755615,1.0,0.16666666666666666,-1.8893773555755615,-0.1666666666666664
1843,1933,imo,umudagu,nigeria,3,1,-0.099501737053465,0.0,5.528352921,7.045245737,5.55,7.05,-1.8893773555755615,-1.8893773555755615,1.0,0.16666666666666666,-1.8893773555755615,-0.1666666666666664
1844,1934,imo,umudagu,nigeria,6,1,0.7501468622349864,0.0,5.528352921,7.045245737,5.55,7.05,-1.8893773555755615,-1.8893773555755615,1.0,0.16666666666666666,-1.8893773555755615,-0.1666666666666664
1845,1935,imo,umudagu,nigeria,4,1,1.2818628842060815,1.0,5.528352921,7.045245737,5.55,7.05,-1.8893773555755615,-1.8893773555755615,1.0,0.16666666666666666,-1.8893773555755615,-0.1666666666666664
