,house,country,hh_size,migrant_num,wealth_index,remit,municipality,lat,long,district,lat_regrid,long_regrid,intensity,magnitude,duration,frequency,severity,dispersion,area,NDVI_mean,SVI_severity
47,48,south_africa,2,0,-2.9977651928347733,,mogale city,-25.9871,27.683,west rand district municipality,-26.0,27.7,-1.566449224948883,-1.6151604056358337,1.5,0.4,-2.3750399947166443,-0.3999999999999999,254526308.08968705,0.21300591176629552,-0.45808850401916046
48,49,south_africa,5,0,0.4474207846832151,,mogale city,-25.9871,27.683,west rand district municipality,-26.0,27.7,-1.566449224948883,-1.6151604056358337,1.5,0.4,-2.3750399947166443,-0.3999999999999999,254526308.08968705,0.21300591176629552,-0.45808850401916046
49,50,south_africa,5,0,-0.285101821793284,,mogale city,-25.9871,27.683,west rand district municipality,-26.0,27.7,-1.566449224948883,-1.6151604056358337,1.5,0.4,-2.3750399947166443,-0.3999999999999999,254526308.08968705,0.21300591176629552,-0.45808850401916046
50,51,south_africa,5,0,0.6622156427590951,,mogale city,-25.9871,27.683,west rand district municipality,-26.0,27.7,-1.566449224948883,-1.6151604056358337,1.5,0.4,-2.3750399947166443,-0.3999999999999999,254526308.08968705,0.21300591176629552,-0.45808850401916046
51,52,south_africa,7,0,0.1528693994462773,,mogale city,-25.9871,27.683,west rand district municipality,-26.0,27.7,-1.566449224948883,-1.6151604056358337,1.5,0.4,-2.3750399947166443,-0.3999999999999999,254526308.08968705,0.21300591176629552,-0.45808850401916046
52,53,south_africa,6,0,1.794626881305389,,mogale city,-25.9871,27.683,west rand district municipality,-26.0,27.7,-1.566449224948883,-1.6151604056358337,1.5,0.4,-2.3750399947166443,-0.3999999999999999,254526308.08968705,0.21300591176629552,-0.45808850401916046
53,54,south_africa,4,0,0.6879793397501188,,mogale city,-25.9871,27.683,west rand district municipality,-26.0,27.7,-1.566449224948883,-1.6151604056358337,1.5,0.4,-2.3750399947166443,-0.3999999999999999,254526308.08968705,0.21300591176629552,-0.45808850401916046
54,55,south_africa,4,1,-0.0831582921977063,1.0,mogale city,-25.9871,27.683,west rand district municipality,-26.0,27.7,-1.566449224948883,-1.6151604056358337,1.5,0.4,-2.3750399947166443,-0.3999999999999999,254526308.08968705,0.21300591176629552,-0.45808850401916046
55,56,south_africa,2,0,-3.580998973855522,,mogale city,-25.9871,27.683,west rand district municipality,-26.0,27.7,-1.566449224948883,-1.6151604056358337,1.5,0.4,-2.3750399947166443,-0.3999999999999999,254526308.08968705,0.21300591176629552,-0.45808850401916046
56,57,south_africa,2,0,-2.0294731030248285,,mogale city,-25.9871,27.683,west rand district municipality,-26.0,27.7,-1.566449224948883,-1.6151604056358337,1.5,0.4,-2.3750399947166443,-0.3999999999999999,254526308.08968705,0.21300591176629552,-0.45808850401916046
57,58,south_africa,5,0,-0.0703151944658196,,mogale city,-25.9871,27.683,west rand district municipality,-26.0,27.7,-1.566449224948883,-1.6151604056358337,1.5,0.4,-2.3750399947166443,-0.3999999999999999,254526308.08968705,0.21300591176629552,-0.45808850401916046
58,59,south_africa,6,0,1.698365675377499,,mogale city,-25.9871,27.683,west rand district municipality,-26.0,27.7,-1.566449224948883,-1.6151604056358337,1.5,0.4,-2.3750399947166443,-0.3999999999999999,254526308.08968705,0.21300591176629552,-0.45808850401916046
59,60,south_africa,6,0,-1.019265136150684,,mogale city,-25.9871,27.683,west rand district municipality,-26.0,27.7,-1.566449224948883,-1.6151604056358337,1.5,0.4,-2.3750399947166443,-0.3999999999999999,254526308.08968705,0.21300591176629552,-0.45808850401916046
60,61,south_africa,1,1,-2.7087179923400724,1.0,westonaria,-26.3936,27.6565,west rand district municipality,-26.4,27.65,-1.7834622859954834,-1.7834622859954834,1.0,0.2,-1.7834622859954834,-0.19999999999999973,106504465.48872524,0.20785712153916097,-0.8321955008352946
61,62,south_africa,2,0,-2.0294731030248285,,westonaria,-26.3936,27.6565,west rand district municipality,-26.4,27.65,-1.7834622859954834,-1.7834622859954834,1.0,0.2,-1.7834622859954834,-0.19999999999999973,106504465.48872524,0.20785712153916097,-0.8321955008352946
62,63,south_africa,6,0,-1.352620263972175,,westonaria,-26.3936,27.6565,west rand district municipality,-26.4,27.65,-1.7834622859954834,-1.7834622859954834,1.0,0.2,-1.7834622859954834,-0.19999999999999973,106504465.48872524,0.20785712153916097,-0.8321955008352946
63,64,south_africa,3,0,-2.036236705133833,,westonaria,-26.3936,27.6565,west rand district municipality,-26.4,27.65,-1.7834622859954834,-1.7834622859954834,1.0,0.2,-1.7834622859954834,-0.19999999999999973,106504465.48872524,0.20785712153916097,-0.8321955008352946
64,65,south_africa,7,0,-1.2179910977518669,,westonaria,-26.3936,27.6565,west rand district municipality,-26.4,27.65,-1.7834622859954834,-1.7834622859954834,1.0,0.2,-1.7834622859954834,-0.19999999999999973,106504465.48872524,0.20785712153916097,-0.8321955008352946
65,66,south_africa,1,0,-2.1551588915135307,,westonaria,-26.3936,27.6565,west rand district municipality,-26.4,27.65,-1.7834622859954834,-1.7834622859954834,1.0,0.2,-1.7834622859954834,-0.19999999999999973,106504465.48872524,0.20785712153916097,-0.8321955008352946
66,68,south_africa,7,0,0.2512985423999816,,westonaria,-26.3936,27.6565,west rand district municipality,-26.4,27.65,-1.7834622859954834,-1.7834622859954834,1.0,0.2,-1.7834622859954834,-0.19999999999999973,106504465.48872524,0.20785712153916097,-0.8321955008352946
67,69,south_africa,3,0,0.470487545486784,,westonaria,-26.3936,27.6565,west rand district municipality,-26.4,27.65,-1.7834622859954834,-1.7834622859954834,1.0,0.2,-1.7834622859954834,-0.19999999999999973,106504465.48872524,0.20785712153916097,-0.8321955008352946
68,70,south_africa,4,0,1.4838798291387558,,westonaria,-26.3936,27.6565,west rand district municipality,-26.4,27.65,-1.7834622859954834,-1.7834622859954834,1.0,0.2,-1.7834622859954834,-0.19999999999999973,106504465.48872524,0.20785712153916097,-0.8321955008352946
69,71,south_africa,3,0,-0.5468157089010411,,westonaria,-26.3936,27.6565,west rand district municipality,-26.4,27.65,-1.7834622859954834,-1.7834622859954834,1.0,0.2,-1.7834622859954834,-0.19999999999999973,106504465.48872524,0.20785712153916097,-0.8321955008352946
70,72,south_africa,5,0,0.3026709333275283,,westonaria,-26.3936,27.6565,west rand district municipality,-26.4,27.65,-1.7834622859954834,-1.7834622859954834,1.0,0.2,-1.7834622859954834,-0.19999999999999973,106504465.48872524,0.20785712153916097,-0.8321955008352946
71,73,south_africa,3,0,-0.5938724609271987,,emfuleni,-26.70620512,27.83267563,sedibeng district municipality,-26.7,27.85,-1.698974847793579,-1.8267985582351685,2.0,0.2,-3.397949695587158,-0.19999999999999973,80113198.5330731,0.18952102886487507,0.020862771706377792
72,74,south_africa,6,1,-0.1088444876614797,1.0,emfuleni,-26.70620512,27.83267563,sedibeng district municipality,-26.7,27.85,-1.698974847793579,-1.8267985582351685,2.0,0.2,-3.397949695587158,-0.19999999999999973,80113198.5330731,0.18952102886487507,0.020862771706377792
73,75,south_africa,5,0,0.6433894694387426,,emfuleni,-26.70620512,27.83267563,sedibeng district municipality,-26.7,27.85,-1.698974847793579,-1.8267985582351685,2.0,0.2,-3.397949695587158,-0.19999999999999973,80113198.5330731,0.18952102886487507,0.020862771706377792
74,76,south_africa,5,0,-0.6238742952923612,,emfuleni,-26.70620512,27.83267563,sedibeng district municipality,-26.7,27.85,-1.698974847793579,-1.8267985582351685,2.0,0.2,-3.397949695587158,-0.19999999999999973,80113198.5330731,0.18952102886487507,0.020862771706377792
75,77,south_africa,3,0,-0.16671592898222,,emfuleni,-26.70620512,27.83267563,sedibeng district municipality,-26.7,27.85,-1.698974847793579,-1.8267985582351685,2.0,0.2,-3.397949695587158,-0.19999999999999973,80113198.5330731,0.18952102886487507,0.020862771706377792
