,house,district,census_tract,country,date,hh_size,migrant_num,wealth_index,remit,lat,long,lat_regrid,long_regrid,intensity,magnitude,duration,frequency,severity,dispersion,area,NDVI_mean,SVI_severity
80,82,kisii,kerera,kenya,11/9/2009,2,1,1.96917568,1.0,-0.754425695,34.82872552,-0.75,34.85,-1.5968827903270721,-1.6692858636379242,2.25,0.8,-3.845115154981613,-0.8,198846275.59763497,0.2176646620599989,-0.07095430164525252
81,83,kisii,kerera,kenya,11/10/2009,10,1,3.193469296,0.0,-0.754425695,34.82872552,-0.75,34.85,-1.5968827903270721,-1.6692858636379242,2.25,0.8,-3.845115154981613,-0.8,198846275.59763497,0.2176646620599989,-0.07095430164525252
82,84,kisii,kerera,kenya,11/10/2009,9,1,3.263654615,1.0,-0.754425695,34.82872552,-0.75,34.85,-1.5968827903270721,-1.6692858636379242,2.25,0.8,-3.845115154981613,-0.8,198846275.59763497,0.2176646620599989,-0.07095430164525252
83,85,kisii,irianyi,kenya,11/9/2009,4,6,1.259615843,1.0,-0.662238252,34.85472107,-0.65,34.85,-1.666750192642212,-1.7113603949546814,1.75,0.8,-3.1180976033210754,-0.7999999999999999,235461747.48176438,0.20952260109076443,0.41224182983684593
84,86,kisii,irianyi,kenya,11/9/2009,3,2,2.802777083,1.0,-0.662238252,34.85472107,-0.65,34.85,-1.666750192642212,-1.7113603949546814,1.75,0.8,-3.1180976033210754,-0.7999999999999999,235461747.48176438,0.20952260109076443,0.41224182983684593
85,87,kisii,irianyi,kenya,11/9/2009,3,5,3.3181636,1.0,-0.662238252,34.85472107,-0.65,34.85,-1.666750192642212,-1.7113603949546814,1.75,0.8,-3.1180976033210754,-0.7999999999999999,235461747.48176438,0.20952260109076443,0.41224182983684593
86,88,kisii,bomakombi,kenya,11/10/2009,3,3,0.188970291,1.0,-0.70441522,34.69546123,-0.7,34.7,-2.0119850635528564,-2.1218271255493164,3.0,0.2,-6.035955429077148,-0.19999999999999973,419523885.8808659,0.22378636470066288,-0.48225635294378133
87,89,kisii,nyokabaria,kenya,11/8/2009,3,2,-0.585181656,1.0,-0.674091366,34.77188889,-0.65,34.75,-1.7889425158500671,-1.8509891629219055,2.0,0.4,-3.8485057950019836,-0.3999999999999999,414311315.99458534,0.2144258914894218,0.408293776897601
88,90,kisii,nyokabaria,kenya,11/8/2009,5,3,0.828346444,1.0,-0.674091366,34.77188889,-0.65,34.75,-1.7889425158500671,-1.8509891629219055,2.0,0.4,-3.8485057950019836,-0.3999999999999999,414311315.99458534,0.2144258914894218,0.408293776897601
89,91,kisii,irianyi,kenya,11/8/2009,5,2,2.535388502,1.0,-0.662238252,34.85472107,-0.65,34.85,-1.666750192642212,-1.7113603949546814,1.75,0.8,-3.1180976033210754,-0.7999999999999999,235461747.48176438,0.20952260109076443,0.41224182983684593
90,92,kisii,irianyi,kenya,11/9/2009,4,1,3.073151607,1.0,-0.662238252,34.85472107,-0.65,34.85,-1.666750192642212,-1.7113603949546814,1.75,0.8,-3.1180976033210754,-0.7999999999999999,235461747.48176438,0.20952260109076443,0.41224182983684593
91,93,kisii,bomakombi,kenya,11/10/2009,4,2,2.334416332,1.0,-0.70441522,34.69546123,-0.7,34.7,-2.0119850635528564,-2.1218271255493164,3.0,0.2,-6.035955429077148,-0.19999999999999973,419523885.8808659,0.22378636470066288,-0.48225635294378133
92,94,kisii,bomakombi,kenya,11/10/2009,4,1,1.769720126,1.0,-0.70441522,34.69546123,-0.7,34.7,-2.0119850635528564,-2.1218271255493164,3.0,0.2,-6.035955429077148,-0.19999999999999973,419523885.8808659,0.22378636470066288,-0.48225635294378133
93,95,kisii,bomakombi,kenya,11/10/2009,6,1,0.30928798,1.0,-0.70441522,34.69546123,-0.7,34.7,-2.0119850635528564,-2.1218271255493164,3.0,0.2,-6.035955429077148,-0.19999999999999973,419523885.8808659,0.22378636470066288,-0.48225635294378133
94,98,kisii,bonyanchaire,kenya,11/8/2009,2,3,3.053098658,1.0,-0.678288351,34.70904985,-0.7,34.7,-2.0119850635528564,-2.1218271255493164,3.0,0.2,-6.035955429077148,-0.19999999999999973,419523885.8808659,0.22378636470066288,-0.48225635294378133
95,99,kisii,bonyanchaire,kenya,11/9/2009,6,1,0.858425867,1.0,-0.678288351,34.70904985,-0.7,34.7,-2.0119850635528564,-2.1218271255493164,3.0,0.2,-6.035955429077148,-0.19999999999999973,419523885.8808659,0.22378636470066288,-0.48225635294378133
96,100,kisii,bomakombi,kenya,11/10/2009,4,3,0.249129136,1.0,-0.70441522,34.69546123,-0.7,34.7,-2.0119850635528564,-2.1218271255493164,3.0,0.2,-6.035955429077148,-0.19999999999999973,419523885.8808659,0.22378636470066288,-0.48225635294378133
