,house,district,census_tract,country,hh_size,migrant_num,wealth_index,remit,lat,long,lat_regrid,long_regrid,intensity,magnitude,duration,frequency,severity,dispersion,area,NDVI_mean,SVI_severity
54,56,nebbi,paila west/central,uganda,8,1,-2.511413231,0,2.46547,31.31556,2.45,31.3,-1.722622514,-1.83435154,2.625,1,-4.672212362,-0.6,127036056.82222697,0.27632125282439374,1.5818951487486608
55,57,nebbi,paila west/central,uganda,6,1,-1.083150657,0,2.46547,31.31556,2.45,31.3,-1.722622514,-1.83435154,2.625,1,-4.672212362,-0.6,127036056.82222697,0.27632125282439374,1.5818951487486608
56,58,nebbi,paila west/central,uganda,7,0,-2.640162347,,2.46547,31.31556,2.45,31.3,-1.722622514,-1.83435154,2.625,1,-4.672212362,-0.6,127036056.82222697,0.27632125282439374,1.5818951487486608
57,59,nebbi,paila west/central,uganda,3,0,-2.468496859,,2.46547,31.31556,2.45,31.3,-1.722622514,-1.83435154,2.625,1,-4.672212362,-0.6,127036056.82222697,0.27632125282439374,1.5818951487486608
58,60,nebbi,paila west/central,uganda,2,0,-1.739391733,,2.46547,31.31556,2.45,31.3,-1.722622514,-1.83435154,2.625,1,-4.672212362,-0.6,127036056.82222697,0.27632125282439374,1.5818951487486608
59,61,kaliro,bubbumbi,uganda,2,3,-2.425580487,0,0.97722,33.49732,1,33.5,-1.923856437,-2.116249561,3.5,0.4,-6.682380676,-0.4,396955671.15293723,0.26105373248101804,1.437386190644275
60,62,kaliro,bubbumbi,uganda,6,6,-2.047959829,1,0.97722,33.49732,1,33.5,-1.923856437,-2.116249561,3.5,0.4,-6.682380676,-0.4,396955671.15293723,0.26105373248101804,1.437386190644275
61,63,kaliro,bubbumbi,uganda,10,3,-0.728916392,0,0.97722,33.49732,1,33.5,-1.923856437,-2.116249561,3.5,0.4,-6.682380676,-0.4,396955671.15293723,0.26105373248101804,1.437386190644275
62,64,kaliro,bubbumbi,uganda,8,0,-2.683078719,,0.97722,33.49732,1,33.5,-1.923856437,-2.116249561,3.5,0.4,-6.682380676,-0.4,396955671.15293723,0.26105373248101804,1.437386190644275
63,65,kaliro,bubbumbi,uganda,7,0,-0.853808922,,0.97722,33.49732,1,33.5,-1.923856437,-2.116249561,3.5,0.4,-6.682380676,-0.4,396955671.15293723,0.26105373248101804,1.437386190644275
64,66,kaliro,bubbumbi,uganda,5,0,-0.374385497,,0.97722,33.49732,1,33.5,-1.923856437,-2.116249561,3.5,0.4,-6.682380676,-0.4,396955671.15293723,0.26105373248101804,1.437386190644275
65,67,kaliro,bubbumbi,uganda,5,0,-1.163319532,,0.97722,33.49732,1,33.5,-1.923856437,-2.116249561,3.5,0.4,-6.682380676,-0.4,396955671.15293723,0.26105373248101804,1.437386190644275
66,68,kaliro,bubbumbi,uganda,12,5,-0.763249489,0,0.97722,33.49732,1,33.5,-1.923856437,-2.116249561,3.5,0.4,-6.682380676,-0.4,396955671.15293723,0.26105373248101804,1.437386190644275
67,69,kaliro,bubbumbi,uganda,5,0,-2.482802316,,0.97722,33.49732,1,33.5,-1.923856437,-2.116249561,3.5,0.4,-6.682380676,-0.4,396955671.15293723,0.26105373248101804,1.437386190644275
68,70,kaliro,bubbumbi,uganda,5,0,-1.693428934,,0.97722,33.49732,1,33.5,-1.923856437,-2.116249561,3.5,0.4,-6.682380676,-0.4,396955671.15293723,0.26105373248101804,1.437386190644275
69,71,masaka,lwayebele,uganda,4,3,-0.625917099,0,0.77240684,32.26219094,0.75,32.25,-1.855024457,-1.992066294,2.75,0.8,-5.077435076,-0.8,286004960.37814873,0.27699687142457513,0.066234825
70,72,masaka,lwayebele,uganda,8,2,-0.728916392,0,0.77240684,32.26219094,0.75,32.25,-1.855024457,-1.992066294,2.75,0.8,-5.077435076,-0.8,286004960.37814873,0.27699687142457513,0.066234825
