,house,department,census_tract,country,hh_size,migrant_num,wealth_index,remit,lat,long,lat_SPEI,long_SPEI,NDVI_lat,NDVI_lon,sev_lat,sev_lon,pop_cent_lat,pop_cent_long,annual_frequency,severity,autocorrelation,avg_area,NDVI_mean,SVI_severity
1043,411,guediawaye,cite des enseignants,senegal,4,1,1.95849738050384,1.0,14.77683245,-17.40519022,14.8,-17.4,14.75,-17.399999999999977,14.8,-17.4,14.77734506,-17.39599836,0.6,0.0,-0.0451754385964912,141962.16483858545,0.10321838162254962,
1044,1038,louga,montagne,senegal,9,1,1.30484453180972,1.0,15.62330287,-16.21748196,15.6,-16.2,15.6,-16.2,15.6,-16.2,15.6680352,-16.23192106,0.6,-0.18473970890045166,-0.053947368421052584,28501873.80910297,0.18516915293423822,0.6930208693362528
1045,1385,matam,boynadji roumde,senegal,6,0,-1.54669310290228,1.0,15.66051954,-13.35041654,15.65,-13.35,15.65,-13.35,15.65,-13.35,15.6680352,-13.36263999,0.7,-0.14790243761880056,0.23991782553729457,80953658.92667678,0.15693920723085014,0.2059165959961692
1046,583,pikine,cite ouest,senegal,8,0,1.18320122173341,,14.73645967,-17.29262985,14.75,-17.3,14.75,-17.3,14.75,-17.3,14.74391863,-17.34454455,0.3,-0.1439915100733439,-0.017735042735042714,196163.61351549183,0.17750546042067583,-0.3034993336366491
1047,589,dakar,hlm 4,senegal,6,0,1.35143821322126,,14.71207849,-17.44431032,14.7,-17.45,14.75,-17.399999999999977,14.7,-17.45,14.72094534,-17.45998489,0.0,0.0,,0.0,0.10321838162254962,0.0
1048,109,pikine,cite lobatt fall,senegal,3,1,2.04949480649179,1.0,14.74682,-17.40995,14.75,-17.4,14.75,-17.4,14.75,-17.4,14.74391863,-17.39599836,0.6,0.0,-0.0451754385964912,141962.16483858545,0.10321838162254962,0.39194349791549477
1049,1421,matam,moderne 2,senegal,24,1,0.516207082737242,0.0,15.61359152,-13.32345921,15.6,-13.3,15.6,-13.3,15.6,-13.3,15.6680352,-13.36263999,0.5,-0.13515400886535645,0.1641304347826087,111836794.61446433,0.15589057205914544,0.05905084681770404
1050,859,diourbel,medinatoul nord,senegal,2,1,2.10126556361572,1.0,14.65733141,-16.23486005,14.65,-16.25,14.65,-16.25,14.65,-16.25,14.66195934,-16.23192106,0.4,-0.20791661739349365,-0.03534482758620686,24261947.253483657,0.2020724582978132,0.7048370557560011
1051,576,pikine,cite icotaf,senegal,6,0,2.07148665718864,,14.7155408,-17.26173081,14.7,-17.25,14.75,-17.24999999999997,14.7,-17.25,14.72094534,-17.22764196,0.6,0.0,-0.0451754385964912,154869.64796579359,0.20071950244415826,
1052,1709,ziguinchor,diefaye,senegal,5,1,2.18797086071748,1.0,12.57853941,-16.25514132,12.6,-16.25,12.6,-16.25,12.6,-16.25,12.56804369,-16.24558632,0.5,-0.33135993480682374,-0.04456521739130435,16705140.269400468,0.1559429051867984,-0.6530364204861101
1053,1124,kaolack,sara ndiougary,senegal,7,1,1.93301060296294,0.0,,,,,,,,,14.72402296,-17.45998489,,,,,,
1054,356,thies,mbour 1,senegal,8,1,2.47017924812821,1.0,14.68562239,-17.45034661,14.7,-17.45,14.75,-17.399999999999977,14.7,-17.45,14.66195934,-17.45998489,0.0,0.0,,0.0,0.10321838162254962,0.0
1055,1048,louga,santhia centre,senegal,12,1,0.743998414082542,1.0,15.62777676,-16.22777327,15.65,-16.25,15.65,-16.25,15.65,-16.25,15.6680352,-16.23192106,0.5,-0.22147805690765382,-0.04456521739130433,31439893.328834556,0.17801836669713708,0.4266692509039231
1056,3053,dakar,sacre coeur 3,senegal,2,2,1.67112988654565,0.0,14.72046,-17.46744,14.7,-17.45,14.75,-17.399999999999977,14.7,-17.45,14.72094534,-17.45998489,0.0,0.0,,0.0,0.10321838162254962,0.0
1057,1255,mbacke,darou khoudoss,senegal,9,2,1.07187612475203,1.0,14.8653417,-15.87905597,14.85,-15.9,14.85,-15.9,14.85,-15.9,14.85551526,-15.88108409,0.2,-0.0784650444984436,-0.017372881355932165,51273248.72292103,0.19146692691239867,1.3605905971575065
1058,761,diourbel,medinatoul,senegal,8,1,1.39028425022914,1.0,14.73727345,-16.24237956,14.75,-16.25,14.75,-16.25,14.75,-16.25,14.74391863,-16.24558632,0.6,-0.10762508710225423,-0.05394736842105261,31176687.815020725,0.20483748686068534,0.5399579170663624
1059,1095,kaolack,ndorong,senegal,11,0,-0.0796275084746139,,14.08694396,-16.35938655,14.1,-16.35,14.1,-16.35,14.1,-16.35,14.0770377,-16.39672928,0.2,-0.39639490842819214,-0.017372881355932162,40611737.75569371,0.19347137680907786,-0.046086894811284834
1060,1277,mbacke,khayra,senegal,10,8,2.53911303698619,1.0,14.823157881171742,-15.90761198,14.8,-15.9,14.8,-15.9,14.8,-15.9,14.81724179,-15.88108409,0.2,-0.05189633369445801,-0.017372881355932165,51273248.72292103,0.20399174551883192,1.4760591207788578
1061,831,diourbel,medinatoul,senegal,4,1,2.08055726076615,1.0,14.73727345,-16.24237956,14.75,-16.25,14.75,-16.25,14.75,-16.25,14.74391863,-16.24558632,0.6,-0.10762508710225423,-0.05394736842105261,31176687.815020725,0.20483748686068534,0.5399579170663624
1062,1887,podor,dolele,senegal,8,2,1.28674273598127,1.0,,,,,,,,,14.72402296,-17.45998489,,,,,,
1063,1629,matam,diandioly,senegal,12,1,1.4642424746919,1.0,15.54077403,-13.24904558,15.55,-13.25,15.55,-13.25,15.55,-13.25,15.6680352,-13.36263999,0.4,-0.14662334322929382,0.2232758620689655,31703861.0361165,0.1462471854733648,0.1460799324729847
1064,1701,ziguinchor,diefaye,senegal,5,5,2.01066673864884,1.0,12.57853941,-16.25514132,12.6,-16.25,12.6,-16.25,12.6,-16.25,12.56804369,-16.24558632,0.5,-0.33135993480682374,-0.04456521739130435,16705140.269400468,0.1559429051867984,-0.6530364204861101
1065,82,pikine,cite la rochette,senegal,8,3,1.28931330467254,1.0,14.75619,-17.36858,14.75,-17.35,14.75,-17.35,14.75,-17.35,14.76581033,-17.34454455,0.3,-0.14413841565450033,-0.017735042735042714,196163.61351549183,0.14110892927388224,-0.3838960763298586
1066,520,dakar,liberte 1,senegal,10,0,2.10352239408282,,14.71053471,-17.46092585,14.7,-17.45,14.75,-17.399999999999977,14.7,-17.45,14.72094534,-17.45998489,0.0,0.0,,0.0,0.10321838162254962,0.0
1067,290,dakar,liberte 6,senegal,1,0,3.04357858666198,,14.73104,-17.46105,14.75,-17.45,15.599999999999994,-16.599999999999966,14.75,-17.45,14.72402296,-17.45998489,0.0,0.0,,0.0,0.17322358038168276,0.0
1068,500,dakar,unite 11,senegal,1,1,-0.257134233386167,0.0,14.75896766,-17.43245729,14.75,-17.45,15.599999999999994,-16.599999999999966,14.75,-17.45,14.76581033,-17.45998489,0.0,0.0,,0.0,0.17322358038168276,0.0
1069,368,mbour,chateau d'eau,senegal,4,1,2.22679892856043,1.0,14.65934807,-17.43678063,14.65,-17.45,14.75,-17.349999999999966,14.65,-17.45,14.66195934,-17.45998489,0.0,0.0,,0.0,0.14110892927388224,0.0
1070,378,mbour,chateau d'eau,senegal,3,0,2.22679892856043,1.0,14.65934807,-17.43678063,14.65,-17.45,14.75,-17.349999999999966,14.65,-17.45,14.66195934,-17.45998489,0.0,0.0,,0.0,0.14110892927388224,0.0
1071,366,mbour,chateau d'eau,senegal,6,1,1.24918024682067,0.0,14.65934807,-17.43678063,14.65,-17.45,14.75,-17.349999999999966,14.65,-17.45,14.66195934,-17.45998489,0.0,0.0,,0.0,0.14110892927388224,0.0
