,house,date,district,census_tract,country,hh_size,migrant_num,wealth_index,remit,lat,long,lat_SPEI,long_SPEI,pop_cent_lat,pop_cent_long,intensity,magnitude,duration,frequency,severity,dispersion,area,NDVI_mean,SVI_severity
48,50,2/16/2010,kamuli,bugaga/bunangwe,uganda,5,0,-0.989403835,,0.96222,33.25307,0.95,33.25,0.935776158,33.25420097,-1.607933309,-1.749948766,2.1666666666666665,1.6,-3.738684389,0.15000000000000013,369061151.38674134,0.2563411037087269,0.5585614545824216
49,51,2/12/2010,nebbi,paila west/central,uganda,12,1,-2.219625317,0,2.46547,31.31556,2.45,31.3,2.334114878,31.31153159,-1.640850997,-1.805691862,3.3,1.2,-5.79385128,-0.866666667,296961421.6100522,0.27632125282439374,1.5037346997781904
50,52,2/12/2010,nebbi,paila west/central,uganda,6,1,-1.607034774,1,2.46547,31.31556,2.45,31.3,2.334114878,31.31153159,-1.640850997,-1.805691862,3.3,1.2,-5.79385128,-0.866666667,296961421.6100522,0.27632125282439374,1.5037346997781904
51,53,2/12/2010,nebbi,paila west/central,uganda,5,1,-0.643083648,1,2.46547,31.31556,2.45,31.3,2.334114878,31.31153159,-1.640850997,-1.805691862,3.3,1.2,-5.79385128,-0.866666667,296961421.6100522,0.27632125282439374,1.5037346997781904
52,54,2/12/2010,nebbi,paila west/central,uganda,10,1,-1.362297679,0,2.46547,31.31556,2.45,31.3,2.334114878,31.31153159,-1.640850997,-1.805691862,3.3,1.2,-5.79385128,-0.866666667,296961421.6100522,0.27632125282439374,1.5037346997781904
53,55,2/12/2010,nebbi,paila west/central,uganda,13,1,-1.190441587,0,2.46547,31.31556,2.45,31.3,2.334114878,31.31153159,-1.640850997,-1.805691862,3.3,1.2,-5.79385128,-0.866666667,296961421.6100522,0.27632125282439374,1.5037346997781904
54,56,2/12/2010,nebbi,paila west/central,uganda,8,1,-2.511413231,0,2.46547,31.31556,2.45,31.3,2.334114878,31.31153159,-1.640850997,-1.805691862,3.3,1.2,-5.79385128,-0.866666667,296961421.6100522,0.27632125282439374,1.5037346997781904
55,57,2/12/2010,nebbi,paila west/central,uganda,6,1,-1.083150657,0,2.46547,31.31556,2.45,31.3,2.334114878,31.31153159,-1.640850997,-1.805691862,3.3,1.2,-5.79385128,-0.866666667,296961421.6100522,0.27632125282439374,1.5037346997781904
56,58,2/12/2010,nebbi,paila west/central,uganda,7,0,-2.640162347,,2.46547,31.31556,2.45,31.3,2.334114878,31.31153159,-1.640850997,-1.805691862,3.3,1.2,-5.79385128,-0.866666667,296961421.6100522,0.27632125282439374,1.5037346997781904
57,59,2/12/2010,nebbi,paila west/central,uganda,3,0,-2.468496859,,2.46547,31.31556,2.45,31.3,2.334114878,31.31153159,-1.640850997,-1.805691862,3.3,1.2,-5.79385128,-0.866666667,296961421.6100522,0.27632125282439374,1.5037346997781904
58,60,2/12/2010,nebbi,paila west/central,uganda,2,0,-1.739391733,,2.46547,31.31556,2.45,31.3,2.334114878,31.31153159,-1.640850997,-1.805691862,3.3,1.2,-5.79385128,-0.866666667,296961421.6100522,0.27632125282439374,1.5037346997781904
59,61,2/19/2010,kaliro,bubbumbi,uganda,2,3,-2.425580487,0,0.97722,33.49732,1,33.5,0.935776158,33.47551566,-1.461802622,-1.511704609,1.6666666666666667,1.6,-2.642900184,-0.35,344441197.0750578,0.26105373248101804,0.7690673700127115
