,house,district,census_tract,country,hh_size,migrant_num,wealth_index,remit,lat,long,lat_SPEI,long_SPEI,pop_cent_lat,pop_cent_long,intensity,magnitude,duration,frequency,severity,dispersion,area,NDVI_mean,SVI_severity
356,366,lagos,cardoso,nigeria,4,2,2.837724005861801,1.0,6.529643091,3.352357156,6.55,3.35,6.535863141,3.350468463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11699717082075507,0.0
357,367,lagos,cardoso,nigeria,3,1,1.7118438989007907,1.0,6.529643091,3.352357156,6.55,3.35,6.535863141,3.350468463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11699717082075507,0.0
358,368,lagos,cardoso,nigeria,5,4,1.575970547719609,0.0,6.529643091,3.352357156,6.55,3.35,6.535863141,3.350468463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11699717082075507,0.0
359,369,lagos,cardoso,nigeria,3,1,3.5376891846055023,1.0,6.529643091,3.352357156,6.55,3.35,6.535863141,3.350468463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11699717082075507,0.0
360,370,lagos,cardoso,nigeria,3,1,2.2394992374221694,0.0,6.529643091,3.352357156,6.55,3.35,6.535863141,3.350468463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11699717082075507,0.0
361,371,lagos,cardoso,nigeria,4,4,1.5985168648949577,0.0,6.529643091,3.352357156,6.55,3.35,6.535863141,3.350468463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11699717082075507,0.0
362,372,lagos,cardoso,nigeria,2,3,2.216952920246821,0.0,6.529643091,3.352357156,6.55,3.35,6.535863141,3.350468463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11699717082075507,0.0
363,373,lagos,cardoso,nigeria,4,2,2.961055810049858,0.0,6.529643091,3.352357156,6.55,3.35,6.535863141,3.350468463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11699717082075507,0.0
364,374,lagos,cardoso,nigeria,7,2,3.3416923209567253,0.0,6.529643091,3.352357156,6.55,3.35,6.535863141,3.350468463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11699717082075507,0.0
365,375,lagos,cardoso,nigeria,5,1,2.78008982451798,0.0,6.529643091,3.352357156,6.55,3.35,6.535863141,3.350468463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11699717082075507,0.0
366,376,lagos,cardoso,nigeria,2,8,1.5985168648949577,0.0,6.529643091,3.352357156,6.55,3.35,6.535863141,3.350468463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11699717082075507,0.0
367,377,lagos,cardoso,nigeria,4,2,1.5985168648949577,0.0,6.529643091,3.352357156,6.55,3.35,6.535863141,3.350468463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11699717082075507,0.0
368,378,lagos,cardoso,nigeria,5,1,3.3341768818982755,0.0,6.529643091,3.352357156,6.55,3.35,6.535863141,3.350468463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11699717082075507,0.0
369,379,lagos,cardoso,nigeria,6,1,2.693194509371064,0.0,6.529643091,3.352357156,6.55,3.35,6.535863141,3.350468463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11699717082075507,0.0
370,380,lagos,cardoso,nigeria,8,7,-0.3665866727952318,0.0,6.529643091,3.352357156,6.55,3.35,6.535863141,3.350468463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11699717082075507,0.0
371,381,lagos,cardoso,nigeria,8,3,1.876826936916935,1.0,6.529643091,3.352357156,6.55,3.35,6.535863141,3.350468463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11699717082075507,0.0
372,382,lagos,cardoso,nigeria,6,2,3.5151428674301544,0.0,6.529643091,3.352357156,6.55,3.35,6.535863141,3.350468463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11699717082075507,0.0
373,383,lagos,cardoso,nigeria,5,2,1.4100325864121048,1.0,6.529643091,3.352357156,6.55,3.35,6.535863141,3.350468463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11699717082075507,0.0
374,384,lagos,cardoso,nigeria,2,1,3.5602355017808507,0.0,6.529643091,3.352357156,6.55,3.35,6.535863141,3.350468463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11699717082075507,0.0
375,385,lagos,cardoso,nigeria,2,1,3.5151428674301544,0.0,6.529643091,3.352357156,6.55,3.35,6.535863141,3.350468463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11699717082075507,0.0
376,386,lagos,cardoso,nigeria,6,0,1.0425387784125042,,6.529643091,3.352357156,6.55,3.35,6.535863141,3.350468463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11699717082075507,0.0
377,387,lagos,cardoso,nigeria,6,0,0.704827641624063,,6.529643091,3.352357156,6.55,3.35,6.535863141,3.350468463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11699717082075507,0.0
378,388,lagos,cardoso,nigeria,8,0,2.562902915867596,,6.529643091,3.352357156,6.55,3.35,6.535863141,3.350468463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11699717082075507,0.0
379,389,lagos,cardoso,nigeria,3,0,3.5376891846055023,,6.529643091,3.352357156,6.55,3.35,6.535863141,3.350468463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11699717082075507,0.0
380,390,lagos,cardoso,nigeria,6,0,0.9085665305915164,,6.529643091,3.352357156,6.55,3.35,6.535863141,3.350468463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11699717082075507,0.0
381,391,lagos,cardoso,nigeria,3,0,1.621063182070306,,6.529643091,3.352357156,6.55,3.35,6.535863141,3.350468463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11699717082075507,0.0
382,392,lagos,cardoso,nigeria,4,0,1.5985168648949577,,6.529643091,3.352357156,6.55,3.35,6.535863141,3.350468463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11699717082075507,0.0
383,393,lagos,cardoso,nigeria,5,0,1.4632389618428676,,6.529643091,3.352357156,6.55,3.35,6.535863141,3.350468463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11699717082075507,0.0
384,394,lagos,cardoso,nigeria,4,0,0.8403321309363795,,6.529643091,3.352357156,6.55,3.35,6.535863141,3.350468463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11699717082075507,0.0
385,395,lagos,cardoso,nigeria,2,0,2.2620455545975178,,6.529643091,3.352357156,6.55,3.35,6.535863141,3.350468463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11699717082075507,0.0
386,396,lagos,cash street,nigeria,6,2,2.8967068120782917,0.0,6.53946534,3.353381312,6.55,3.35,6.535863141,3.350468463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11699717082075507,0.0
387,405,lagos,cash street,nigeria,8,1,3.2808051305519546,0.0,6.53946534,3.353381312,6.55,3.35,6.535863141,3.350468463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11699717082075507,0.0
388,407,lagos,cash street,nigeria,4,1,1.2229093158152908,0.0,6.53946534,3.353381312,6.55,3.35,6.535863141,3.350468463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11699717082075507,0.0
389,408,lagos,cash street,nigeria,4,1,1.6293394451734051,0.0,6.53946534,3.353381312,6.55,3.35,6.535863141,3.350468463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11699717082075507,0.0
390,409,lagos,cash street,nigeria,3,2,2.941799446428987,0.0,6.53946534,3.353381312,6.55,3.35,6.535863141,3.350468463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11699717082075507,0.0
391,410,lagos,cash street,nigeria,5,2,1.3416328108414102,0.0,6.53946534,3.353381312,6.55,3.35,6.535863141,3.350468463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11699717082075507,0.0
392,412,lagos,cash street,nigeria,4,3,1.508331596193564,0.0,6.53946534,3.353381312,6.55,3.35,6.535863141,3.350468463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11699717082075507,0.0
393,413,lagos,cash street,nigeria,5,1,0.9079710824624244,0.0,6.53946534,3.353381312,6.55,3.35,6.535863141,3.350468463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11699717082075507,0.0
394,414,lagos,cash street,nigeria,6,1,0.7960166631153702,1.0,6.53946534,3.353381312,6.55,3.35,6.535863141,3.350468463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11699717082075507,0.0
395,415,lagos,cash street,nigeria,4,3,1.508331596193564,0.0,6.53946534,3.353381312,6.55,3.35,6.535863141,3.350468463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11699717082075507,0.0
396,416,lagos,cash street,nigeria,4,3,1.6285786211287552,1.0,6.53946534,3.353381312,6.55,3.35,6.535863141,3.350468463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11699717082075507,0.0
397,417,lagos,cash street,nigeria,3,2,1.5534242305442607,0.0,6.53946534,3.353381312,6.55,3.35,6.535863141,3.350468463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11699717082075507,0.0
398,418,lagos,cash street,nigeria,4,1,0.8403321309363795,0.0,6.53946534,3.353381312,6.55,3.35,6.535863141,3.350468463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11699717082075507,0.0
399,419,lagos,cash street,nigeria,3,0,1.621063182070306,,6.53946534,3.353381312,6.55,3.35,6.535863141,3.350468463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11699717082075507,0.0
400,420,lagos,cash street,nigeria,2,0,0.9305173996377728,,6.53946534,3.353381312,6.55,3.35,6.535863141,3.350468463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11699717082075507,0.0
401,421,lagos,cash street,nigeria,4,0,1.508331596193564,,6.53946534,3.353381312,6.55,3.35,6.535863141,3.350468463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11699717082075507,0.0
402,422,lagos,cash street,nigeria,6,0,2.141034851725152,,6.53946534,3.353381312,6.55,3.35,6.535863141,3.350468463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11699717082075507,0.0
403,423,lagos,cash street,nigeria,4,0,2.184200086341465,,6.53946534,3.353381312,6.55,3.35,6.535863141,3.350468463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11699717082075507,0.0
404,424,lagos,cash street,nigeria,3,0,1.7118438989007907,,6.53946534,3.353381312,6.55,3.35,6.535863141,3.350468463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11699717082075507,0.0
405,429,zamfara,chediya,nigeria,5,0,-3.9874690050145705,,11.9931432,6.960794861,12.0,6.95,11.9988019,6.964946876,-1.5904125656400407,-1.6529452516919092,1.476190476190476,1.1,-2.386971700759161,-0.19090909090909092,270375484.73592985,0.1967949819086892,0.14692256090910055
406,430,zamfara,chediya,nigeria,4,1,-2.282983079652222,1.0,11.9931432,6.960794861,12.0,6.95,11.9988019,6.964946876,-1.5904125656400407,-1.6529452516919092,1.476190476190476,1.1,-2.386971700759161,-0.19090909090909092,270375484.73592985,0.1967949819086892,0.14692256090910055
407,431,zamfara,chediya,nigeria,5,1,-3.2827365518400984,1.0,11.9931432,6.960794861,12.0,6.95,11.9988019,6.964946876,-1.5904125656400407,-1.6529452516919092,1.476190476190476,1.1,-2.386971700759161,-0.19090909090909092,270375484.73592985,0.1967949819086892,0.14692256090910055
408,432,zamfara,chediya,nigeria,9,2,-4.017530761248368,1.0,11.9931432,6.960794861,12.0,6.95,11.9988019,6.964946876,-1.5904125656400407,-1.6529452516919092,1.476190476190476,1.1,-2.386971700759161,-0.19090909090909092,270375484.73592985,0.1967949819086892,0.14692256090910055
409,433,zamfara,chediya,nigeria,7,0,-0.3359931878406445,,11.9931432,6.960794861,12.0,6.95,11.9988019,6.964946876,-1.5904125656400407,-1.6529452516919092,1.476190476190476,1.1,-2.386971700759161,-0.19090909090909092,270375484.73592985,0.1967949819086892,0.14692256090910055
410,434,zamfara,chediya,nigeria,3,0,-2.924628021874445,,11.9931432,6.960794861,12.0,6.95,11.9988019,6.964946876,-1.5904125656400407,-1.6529452516919092,1.476190476190476,1.1,-2.386971700759161,-0.19090909090909092,270375484.73592985,0.1967949819086892,0.14692256090910055
411,436,zamfara,chediya,nigeria,4,0,-2.9020817046990968,,11.9931432,6.960794861,12.0,6.95,11.9988019,6.964946876,-1.5904125656400407,-1.6529452516919092,1.476190476190476,1.1,-2.386971700759161,-0.19090909090909092,270375484.73592985,0.1967949819086892,0.14692256090910055
412,437,zamfara,chediya,nigeria,3,0,-2.924628021874445,,11.9931432,6.960794861,12.0,6.95,11.9988019,6.964946876,-1.5904125656400407,-1.6529452516919092,1.476190476190476,1.1,-2.386971700759161,-0.19090909090909092,270375484.73592985,0.1967949819086892,0.14692256090910055
413,438,zamfara,chediya,nigeria,4,2,1.8537310223311083,1.0,11.9931432,6.960794861,12.0,6.95,11.9988019,6.964946876,-1.5904125656400407,-1.6529452516919092,1.476190476190476,1.1,-2.386971700759161,-0.19090909090909092,270375484.73592985,0.1967949819086892,0.14692256090910055
414,439,zamfara,chediya,nigeria,4,0,-3.7650177088746086,1.0,11.9931432,6.960794861,12.0,6.95,11.9988019,6.964946876,-1.5904125656400407,-1.6529452516919092,1.476190476190476,1.1,-2.386971700759161,-0.19090909090909092,270375484.73592985,0.1967949819086892,0.14692256090910055
415,440,zamfara,chediya,nigeria,3,0,-4.319507449652612,,11.9931432,6.960794861,12.0,6.95,11.9988019,6.964946876,-1.5904125656400407,-1.6529452516919092,1.476190476190476,1.1,-2.386971700759161,-0.19090909090909092,270375484.73592985,0.1967949819086892,0.14692256090910055
416,441,zamfara,chediya,nigeria,6,2,-2.602389370248575,0.0,11.9931432,6.960794861,12.0,6.95,11.9988019,6.964946876,-1.5904125656400407,-1.6529452516919092,1.476190476190476,1.1,-2.386971700759161,-0.19090909090909092,270375484.73592985,0.1967949819086892,0.14692256090910055
417,442,zamfara,chediya,nigeria,8,0,-3.2485527254324214,,11.9931432,6.960794861,12.0,6.95,11.9988019,6.964946876,-1.5904125656400407,-1.6529452516919092,1.476190476190476,1.1,-2.386971700759161,-0.19090909090909092,270375484.73592985,0.1967949819086892,0.14692256090910055
418,443,zamfara,chediya,nigeria,4,1,-2.389735937538265,1.0,11.9931432,6.960794861,12.0,6.95,11.9988019,6.964946876,-1.5904125656400407,-1.6529452516919092,1.476190476190476,1.1,-2.386971700759161,-0.19090909090909092,270375484.73592985,0.1967949819086892,0.14692256090910055
419,444,zamfara,chediya,nigeria,6,0,2.5280843365050205,,11.9931432,6.960794861,12.0,6.95,11.9988019,6.964946876,-1.5904125656400407,-1.6529452516919092,1.476190476190476,1.1,-2.386971700759161,-0.19090909090909092,270375484.73592985,0.1967949819086892,0.14692256090910055
420,445,oyo,chief eniraytan,nigeria,8,1,1.375044422680265,1.0,7.77,4.83,7.75,4.85,7.771322143,4.829555419,-1.5651985108852386,-1.7464634627103806,2.625,0.6,-4.243373081088066,0.06666666666666687,128690978.8843054,0.26730762549394527,0.16090196086882722
421,446,oyo,chief eniraytan,nigeria,7,1,0.8404975068519372,1.0,7.77,4.83,7.75,4.85,7.771322143,4.829555419,-1.5651985108852386,-1.7464634627103806,2.625,0.6,-4.243373081088066,0.06666666666666687,128690978.8843054,0.26730762549394527,0.16090196086882722
422,447,oyo,chief eniraytan,nigeria,6,0,0.9305173996377728,,7.77,4.83,7.75,4.85,7.771322143,4.829555419,-1.5651985108852386,-1.7464634627103806,2.625,0.6,-4.243373081088066,0.06666666666666687,128690978.8843054,0.26730762549394527,0.16090196086882722
423,448,oyo,chief eniraytan,nigeria,6,1,1.4709197768168751,1.0,7.77,4.83,7.75,4.85,7.771322143,4.829555419,-1.5651985108852386,-1.7464634627103806,2.625,0.6,-4.243373081088066,0.06666666666666687,128690978.8843054,0.26730762549394527,0.16090196086882722
424,449,oyo,chief eniraytan,nigeria,6,1,0.8254666287350386,1.0,7.77,4.83,7.75,4.85,7.771322143,4.829555419,-1.5651985108852386,-1.7464634627103806,2.625,0.6,-4.243373081088066,0.06666666666666687,128690978.8843054,0.26730762549394527,0.16090196086882722
