,house,district,census_tract,country,hh_size,migrant_num,wealth_index,remit,lat,long,lat_regrid,long_regrid,intensity,magnitude,duration,frequency,severity,dispersion,area,NDVI_mean,SVI_severity
74,75,lagos,adedoyin,nigeria,4,1,0.3371274937786302,0.0,6.5961,3.3408,6.6,3.35,-1.6930816173553467,-1.7617073059082031,2.0,0.2,-3.3861632347106934,-0.19999999999999973,20384083.936370194,0.14557763971112483,-0.7686710951729558
75,76,lagos,adedoyin,nigeria,6,1,1.183808590613972,0.0,6.5961,3.3408,6.6,3.35,-1.6930816173553467,-1.7617073059082031,2.0,0.2,-3.3861632347106934,-0.19999999999999973,20384083.936370194,0.14557763971112483,-0.7686710951729558
76,77,lagos,adedoyin,nigeria,5,5,1.818799053991806,0.0,6.5961,3.3408,6.6,3.35,-1.6930816173553467,-1.7617073059082031,2.0,0.2,-3.3861632347106934,-0.19999999999999973,20384083.936370194,0.14557763971112483,-0.7686710951729558
77,78,lagos,adedoyin,nigeria,3,1,1.1778166814645945,0.0,6.5961,3.3408,6.6,3.35,-1.6930816173553467,-1.7617073059082031,2.0,0.2,-3.3861632347106934,-0.19999999999999973,20384083.936370194,0.14557763971112483,-0.7686710951729558
78,79,lagos,adedoyin,nigeria,4,1,2.395800475044981,0.0,6.5961,3.3408,6.6,3.35,-1.6930816173553467,-1.7617073059082031,2.0,0.2,-3.3861632347106934,-0.19999999999999973,20384083.936370194,0.14557763971112483,-0.7686710951729558
79,80,lagos,adedoyin,nigeria,2,1,1.6436094992456542,1.0,6.5961,3.3408,6.6,3.35,-1.6930816173553467,-1.7617073059082031,2.0,0.2,-3.3861632347106934,-0.19999999999999973,20384083.936370194,0.14557763971112483,-0.7686710951729558
80,81,lagos,adedoyin,nigeria,5,0,1.2619013937430077,,6.5961,3.3408,6.6,3.35,-1.6930816173553467,-1.7617073059082031,2.0,0.2,-3.3861632347106934,-0.19999999999999973,20384083.936370194,0.14557763971112483,-0.7686710951729558
81,82,lagos,adedoyin,nigeria,3,0,2.171860285896124,,6.5961,3.3408,6.6,3.35,-1.6930816173553467,-1.7617073059082031,2.0,0.2,-3.3861632347106934,-0.19999999999999973,20384083.936370194,0.14557763971112483,-0.7686710951729558
82,83,lagos,adedoyin,nigeria,6,0,0.9149416903344216,,6.5961,3.3408,6.6,3.35,-1.6930816173553467,-1.7617073059082031,2.0,0.2,-3.3861632347106934,-0.19999999999999973,20384083.936370194,0.14557763971112483,-0.7686710951729558
83,84,lagos,adedoyin,nigeria,4,0,2.0566029982633824,,6.5961,3.3408,6.6,3.35,-1.6930816173553467,-1.7617073059082031,2.0,0.2,-3.3861632347106934,-0.19999999999999973,20384083.936370194,0.14557763971112483,-0.7686710951729558
84,85,akwa ibom,afaha offot,nigeria,7,1,2.8198389376447417,1.0,5.03333,7.88333,5.05,7.9,-1.6718173027038574,-1.6880275011062622,2.0,0.2,-3.343634605407715,-0.19999999999999984,675621.8157550188,0.18568836953997214,1.5566605523167698
85,87,akwa ibom,afaha offot,nigeria,4,3,0.478397306,0.0,5.03333,7.88333,5.05,7.9,-1.6718173027038574,-1.6880275011062622,2.0,0.2,-3.343634605407715,-0.19999999999999984,675621.8157550188,0.18568836953997214,1.5566605523167698
86,88,akwa ibom,afaha offot,nigeria,5,2,-0.764913805,0.0,5.03333,7.88333,5.05,7.9,-1.6718173027038574,-1.6880275011062622,2.0,0.2,-3.343634605407715,-0.19999999999999984,675621.8157550188,0.18568836953997214,1.5566605523167698
87,89,akwa ibom,afaha offot,nigeria,8,0,0.425623857,,5.03333,7.88333,5.05,7.9,-1.6718173027038574,-1.6880275011062622,2.0,0.2,-3.343634605407715,-0.19999999999999984,675621.8157550188,0.18568836953997214,1.5566605523167698
88,90,akwa ibom,afaha offot,nigeria,4,3,1.1554357402048037,1.0,5.03333,7.88333,5.05,7.9,-1.6718173027038574,-1.6880275011062622,2.0,0.2,-3.343634605407715,-0.19999999999999984,675621.8157550188,0.18568836953997214,1.5566605523167698
89,91,akwa ibom,afaha offot,nigeria,6,1,0.5170418213266612,0.0,5.03333,7.88333,5.05,7.9,-1.6718173027038574,-1.6880275011062622,2.0,0.2,-3.343634605407715,-0.19999999999999984,675621.8157550188,0.18568836953997214,1.5566605523167698
90,92,akwa ibom,afaha offot,nigeria,9,2,1.151678020675579,0.0,5.03333,7.88333,5.05,7.9,-1.6718173027038574,-1.6880275011062622,2.0,0.2,-3.343634605407715,-0.19999999999999984,675621.8157550188,0.18568836953997214,1.5566605523167698
91,93,akwa ibom,afaha offot,nigeria,6,0,0.9111478145278228,,5.03333,7.88333,5.05,7.9,-1.6718173027038574,-1.6880275011062622,2.0,0.2,-3.343634605407715,-0.19999999999999984,675621.8157550188,0.18568836953997214,1.5566605523167698
92,94,akwa ibom,afaha offot,nigeria,10,1,0.7256965878069191,0.0,5.03333,7.88333,5.05,7.9,-1.6718173027038574,-1.6880275011062622,2.0,0.2,-3.343634605407715,-0.19999999999999984,675621.8157550188,0.18568836953997214,1.5566605523167698
93,95,akwa ibom,afaha offot,nigeria,8,2,1.1339630571806625,1.0,5.03333,7.88333,5.05,7.9,-1.6718173027038574,-1.6880275011062622,2.0,0.2,-3.343634605407715,-0.19999999999999984,675621.8157550188,0.18568836953997214,1.5566605523167698
94,96,akwa ibom,afaha offot,nigeria,6,0,0.6806039534562224,,5.03333,7.88333,5.05,7.9,-1.6718173027038574,-1.6880275011062622,2.0,0.2,-3.343634605407715,-0.19999999999999984,675621.8157550188,0.18568836953997214,1.5566605523167698
