,house,date,district,census_tract,country,hh_size,migrant_num,wealth_index,remit,lat,long,lat_SPEI,long_SPEI,NDVI_lat,NDVI_lon,sev_lat,sev_lon,pop_cent_lat,pop_cent_long,annual_frequency,severity,autocorrelation,avg_area,NDVI_mean,SVI_severity
40,42,2/16/2010,kamuli,bugaga/bunangwe,uganda,8,0,-0.107189452,,0.96222,33.25307,0.95,33.25,0.95,33.25,0.95,33.25,0.935776158,33.25420097,2.0,-0.5179805755615234,-0.06999999999999999,249780119.94126788,0.2921561167006678,0.31793558234227537
41,43,2/16/2010,kamuli,bugaga/bunangwe,uganda,6,0,-2.537288459,,0.96222,33.25307,0.95,33.25,0.95,33.25,0.95,33.25,0.935776158,33.25420097,2.0,-0.5179805755615234,-0.06999999999999999,249780119.94126788,0.2921561167006678,0.31793558234227537
42,44,2/16/2010,kamuli,bugaga/bunangwe,uganda,9,6,-1.985216848,0.0,0.96222,33.25307,0.95,33.25,0.95,33.25,0.95,33.25,0.935776158,33.25420097,2.0,-0.5179805755615234,-0.06999999999999999,249780119.94126788,0.2921561167006678,0.31793558234227537
43,45,2/16/2010,kamuli,bugaga/bunangwe,uganda,2,8,-1.710974101,0.0,0.96222,33.25307,0.95,33.25,0.95,33.25,0.95,33.25,0.935776158,33.25420097,2.0,-0.5179805755615234,-0.06999999999999999,249780119.94126788,0.2921561167006678,0.31793558234227537
44,46,2/16/2010,kamuli,bugaga/bunangwe,uganda,8,3,-0.389320905,1.0,0.96222,33.25307,0.95,33.25,0.95,33.25,0.95,33.25,0.935776158,33.25420097,2.0,-0.5179805755615234,-0.06999999999999999,249780119.94126788,0.2921561167006678,0.31793558234227537
45,47,2/16/2010,kamuli,bugaga/bunangwe,uganda,8,0,-0.145116187,1.0,0.96222,33.25307,0.95,33.25,0.95,33.25,0.95,33.25,0.935776158,33.25420097,2.0,-0.5179805755615234,-0.06999999999999999,249780119.94126788,0.2921561167006678,0.31793558234227537
46,48,2/16/2010,kamuli,bugaga/bunangwe,uganda,8,0,-2.562956294,,0.96222,33.25307,0.95,33.25,0.95,33.25,0.95,33.25,0.935776158,33.25420097,2.0,-0.5179805755615234,-0.06999999999999999,249780119.94126788,0.2921561167006678,0.31793558234227537
47,49,2/16/2010,kamuli,bugaga/bunangwe,uganda,5,1,-1.353833447,0.0,0.96222,33.25307,0.95,33.25,0.95,33.25,0.95,33.25,0.935776158,33.25420097,2.0,-0.5179805755615234,-0.06999999999999999,249780119.94126788,0.2921561167006678,0.31793558234227537
48,50,2/16/2010,kamuli,bugaga/bunangwe,uganda,5,0,-0.989403835,,0.96222,33.25307,0.95,33.25,0.95,33.25,0.95,33.25,0.935776158,33.25420097,2.0,-0.5179805755615234,-0.06999999999999999,249780119.94126788,0.2921561167006678,0.31793558234227537
49,51,2/12/2010,nebbi,paila west/central,uganda,12,1,-2.219625317,0.0,2.46547,31.31556,2.45,31.3,2.45,31.3,2.45,31.3,2.334114878,31.31153159,3.0,-0.3107148806254069,0.22777777777777777,158297522.37124786,0.2842630679753229,0.6346731888396459
50,52,2/12/2010,nebbi,paila west/central,uganda,6,1,-1.607034774,1.0,2.46547,31.31556,2.45,31.3,2.45,31.3,2.45,31.3,2.334114878,31.31153159,3.0,-0.3107148806254069,0.22777777777777777,158297522.37124786,0.2842630679753229,0.6346731888396459
51,53,2/12/2010,nebbi,paila west/central,uganda,5,1,-0.643083648,1.0,2.46547,31.31556,2.45,31.3,2.45,31.3,2.45,31.3,2.334114878,31.31153159,3.0,-0.3107148806254069,0.22777777777777777,158297522.37124786,0.2842630679753229,0.6346731888396459
52,54,2/12/2010,nebbi,paila west/central,uganda,10,1,-1.362297679,0.0,2.46547,31.31556,2.45,31.3,2.45,31.3,2.45,31.3,2.334114878,31.31153159,3.0,-0.3107148806254069,0.22777777777777777,158297522.37124786,0.2842630679753229,0.6346731888396459
53,55,2/12/2010,nebbi,paila west/central,uganda,13,1,-1.190441587,0.0,2.46547,31.31556,2.45,31.3,2.45,31.3,2.45,31.3,2.334114878,31.31153159,3.0,-0.3107148806254069,0.22777777777777777,158297522.37124786,0.2842630679753229,0.6346731888396459
54,56,2/12/2010,nebbi,paila west/central,uganda,8,1,-2.511413231,0.0,2.46547,31.31556,2.45,31.3,2.45,31.3,2.45,31.3,2.334114878,31.31153159,3.0,-0.3107148806254069,0.22777777777777777,158297522.37124786,0.2842630679753229,0.6346731888396459
55,57,2/12/2010,nebbi,paila west/central,uganda,6,1,-1.083150657,0.0,2.46547,31.31556,2.45,31.3,2.45,31.3,2.45,31.3,2.334114878,31.31153159,3.0,-0.3107148806254069,0.22777777777777777,158297522.37124786,0.2842630679753229,0.6346731888396459
