,house,district,census_tract,country,date,hh_size,migrant_num,wealth_index,remit,lat,long,lat_SPEI,long_SPEI,pop_cent_lat,pop_cent_long,intensity,magnitude,duration,frequency,severity,dispersion,area,NDVI_mean,SVI_severity
1729,1812,vihiga,ikengero,kenya,2009-12-18,2,3,1.5691906429780718,1.0,0.046629774,34.72621267,0.05,34.75,0.045932329,34.7257041,-1.7228180170059204,-1.9676098823547363,2.8,0.5,-4.854992842674255,-0.5,433846911.31503767,0.22385492258076542,0.30376648279712704
1730,1813,vihiga,mbale/nyembe,kenya,2009-12-16,7,0,1.889363309075844,1.0,0.090242818,34.72120122,0.1,34.7,0.092835804,34.72154676,-1.6899886846542358,-1.9623273134231567,3.0,0.5,-5.109336733818054,-0.5,434577647.30585474,0.21242635412806066,0.1413609952559865
1731,1814,vihiga,ikengero,kenya,2009-12-16,1,3,0.8925941728741238,1.0,0.046629774,34.72621267,0.05,34.75,0.045932329,34.7257041,-1.7228180170059204,-1.9676098823547363,2.8,0.5,-4.854992842674255,-0.5,433846911.31503767,0.22385492258076542,0.30376648279712704
1732,1815,vihiga,ikengero,kenya,2009-12-18,5,2,0.4698410087243072,1.0,0.046629774,34.72621267,0.05,34.75,0.045932329,34.7257041,-1.7228180170059204,-1.9676098823547363,2.8,0.5,-4.854992842674255,-0.5,433846911.31503767,0.22385492258076542,0.30376648279712704
1733,1816,vihiga,idohi,kenya,2009-12-15,9,1,0.6261519449785349,1.0,0.084078524,34.7227277,0.1,34.7,0.092835804,34.72154676,-1.6899886846542358,-1.9623273134231567,3.0,0.5,-5.109336733818054,-0.5,434577647.30585474,0.21242635412806066,0.1413609952559865
1734,1817,vihiga,idohi,kenya,2009-12-15,5,4,-0.7185264581154169,1.0,0.084078524,34.7227277,0.1,34.7,0.092835804,34.72154676,-1.6899886846542358,-1.9623273134231567,3.0,0.5,-5.109336733818054,-0.5,434577647.30585474,0.21242635412806066,0.1413609952559865
1735,1818,vihiga,ikengero,kenya,2009-12-17,8,1,-2.0056841710900044,0.0,0.046629774,34.72621267,0.05,34.75,0.045932329,34.7257041,-1.7228180170059204,-1.9676098823547363,2.8,0.5,-4.854992842674255,-0.5,433846911.31503767,0.22385492258076542,0.30376648279712704
1736,1819,vihiga,ikengero,kenya,2009-12-17,4,1,-2.663104320108386,1.0,0.046629774,34.72621267,0.05,34.75,0.045932329,34.7257041,-1.7228180170059204,-1.9676098823547363,2.8,0.5,-4.854992842674255,-0.5,433846911.31503767,0.22385492258076542,0.30376648279712704
1737,1820,vihiga,ikengero,kenya,2009-12-17,5,0,-0.9848102654853654,,0.046629774,34.72621267,0.05,34.75,0.045932329,34.7257041,-1.7228180170059204,-1.9676098823547363,2.8,0.5,-4.854992842674255,-0.5,433846911.31503767,0.22385492258076542,0.30376648279712704
1738,1821,vihiga,mbale/nyembe,kenya,2009-12-16,1,3,2.878652638123157,0.0,0.090242818,34.72120122,0.1,34.7,0.092835804,34.72154676,-1.6899886846542358,-1.9623273134231567,3.0,0.5,-5.109336733818054,-0.5,434577647.30585474,0.21242635412806066,0.1413609952559865
1739,1822,vihiga,mbale/nyembe,kenya,2009-12-17,5,1,3.33320331157945,0.0,0.090242818,34.72120122,0.1,34.7,0.092835804,34.72154676,-1.6899886846542358,-1.9623273134231567,3.0,0.5,-5.109336733818054,-0.5,434577647.30585474,0.21242635412806066,0.1413609952559865
1740,1823,vihiga,mbale/nyembe,kenya,2009-12-17,3,5,0.0595317472283915,1.0,0.090242818,34.72120122,0.1,34.7,0.092835804,34.72154676,-1.6899886846542358,-1.9623273134231567,3.0,0.5,-5.109336733818054,-0.5,434577647.30585474,0.21242635412806066,0.1413609952559865
1741,1824,vihiga,liamidi,kenya,2009-12-19,4,2,0.7949248636741997,1.0,-0.022113269,34.74408902,-0.0,34.75,-0.01474329,34.74166581,-1.7554056644439697,-1.9014470100402832,2.4,0.5,-4.222992300987244,-0.5,515684664.2325761,0.24668868186563797,-0.42880125456448914
1742,1825,vihiga,liamidi,kenya,2009-12-19,10,2,0.6038072311982292,1.0,-0.022113269,34.74408902,-0.0,34.75,-0.01474329,34.74166581,-1.7554056644439697,-1.9014470100402832,2.4,0.5,-4.222992300987244,-0.5,515684664.2325761,0.24668868186563797,-0.42880125456448914
1743,1826,vihiga,liamidi,kenya,2009-12-19,4,0,2.9221891528381554,,-0.022113269,34.74408902,-0.0,34.75,-0.01474329,34.74166581,-1.7554056644439697,-1.9014470100402832,2.4,0.5,-4.222992300987244,-0.5,515684664.2325761,0.24668868186563797,-0.42880125456448914
1744,1827,vihiga,liamidi,kenya,2009-12-19,6,1,2.141489833063534,1.0,-0.022113269,34.74408902,-0.0,34.75,-0.01474329,34.74166581,-1.7554056644439697,-1.9014470100402832,2.4,0.5,-4.222992300987244,-0.5,515684664.2325761,0.24668868186563797,-0.42880125456448914
1745,1828,vihiga,liamidi,kenya,2009-12-19,5,1,-0.321047415290143,1.0,-0.022113269,34.74408902,-0.0,34.75,-0.01474329,34.74166581,-1.7554056644439697,-1.9014470100402832,2.4,0.5,-4.222992300987244,-0.5,515684664.2325761,0.24668868186563797,-0.42880125456448914
1746,1829,vihiga,liamidi,kenya,2009-12-19,3,2,0.3948057978896603,1.0,-0.022113269,34.74408902,-0.0,34.75,-0.01474329,34.74166581,-1.7554056644439697,-1.9014470100402832,2.4,0.5,-4.222992300987244,-0.5,515684664.2325761,0.24668868186563797,-0.42880125456448914
1747,1830,vihiga,liamidi,kenya,2009-12-19,11,3,0.0427683831718783,1.0,-0.022113269,34.74408902,-0.0,34.75,-0.01474329,34.74166581,-1.7554056644439697,-1.9014470100402832,2.4,0.5,-4.222992300987244,-0.5,515684664.2325761,0.24668868186563797,-0.42880125456448914
1748,1831,vihiga,magina,kenya,2009-12-20,2,1,0.4143948268788733,1.0,-0.960800433,36.62619657,-0.95,36.65,-0.978652712,36.65254242,-1.605521866253444,-1.6995202813829695,2.047619047619048,0.9,-3.3781896999904086,-0.23333333333333328,335047019.8699861,0.2219240394056005,1.0125399192117348
1749,1832,vihiga,magina,kenya,2009-12-20,5,1,-1.1292697873021689,1.0,-0.960800433,36.62619657,-0.95,36.65,-0.978652712,36.65254242,-1.605521866253444,-1.6995202813829695,2.047619047619048,0.9,-3.3781896999904086,-0.23333333333333328,335047019.8699861,0.2219240394056005,1.0125399192117348
1750,1833,vihiga,magina,kenya,2009-12-20,3,1,1.992648726379284,1.0,-0.960800433,36.62619657,-0.95,36.65,-0.978652712,36.65254242,-1.605521866253444,-1.6995202813829695,2.047619047619048,0.9,-3.3781896999904086,-0.23333333333333328,335047019.8699861,0.2219240394056005,1.0125399192117348
1751,1834,vihiga,magina,kenya,2009-12-19,7,2,3.133310451333442,1.0,-0.960800433,36.62619657,-0.95,36.65,-0.978652712,36.65254242,-1.605521866253444,-1.6995202813829695,2.047619047619048,0.9,-3.3781896999904086,-0.23333333333333328,335047019.8699861,0.2219240394056005,1.0125399192117348
1752,1835,vihiga,magina,kenya,2009-12-19,5,0,3.2426960467342734,1.0,-0.960800433,36.62619657,-0.95,36.65,-0.978652712,36.65254242,-1.605521866253444,-1.6995202813829695,2.047619047619048,0.9,-3.3781896999904086,-0.23333333333333328,335047019.8699861,0.2219240394056005,1.0125399192117348
1753,1836,vihiga,magina,kenya,2009-12-19,3,3,3.5444216374347133,1.0,-0.960800433,36.62619657,-0.95,36.65,-0.978652712,36.65254242,-1.605521866253444,-1.6995202813829695,2.047619047619048,0.9,-3.3781896999904086,-0.23333333333333328,335047019.8699861,0.2219240394056005,1.0125399192117348
1754,1837,vihiga,liamidi,kenya,2009-12-19,6,2,3.1825372019411424,1.0,-0.022113269,34.74408902,-0.0,34.75,-0.01474329,34.74166581,-1.7554056644439697,-1.9014470100402832,2.4,0.5,-4.222992300987244,-0.5,515684664.2325761,0.24668868186563797,-0.42880125456448914
1755,1838,vihiga,liamidi,kenya,2009-12-19,5,5,3.0430721841437456,1.0,-0.022113269,34.74408902,-0.0,34.75,-0.01474329,34.74166581,-1.7554056644439697,-1.9014470100402832,2.4,0.5,-4.222992300987244,-0.5,515684664.2325761,0.24668868186563797,-0.42880125456448914
1756,1839,vihiga,liamidi,kenya,2009-12-19,3,1,1.2820652708906612,1.0,-0.022113269,34.74408902,-0.0,34.75,-0.01474329,34.74166581,-1.7554056644439697,-1.9014470100402832,2.4,0.5,-4.222992300987244,-0.5,515684664.2325761,0.24668868186563797,-0.42880125456448914
1757,1840,vihiga,ikengero,kenya,2009-12-19,2,0,-0.2473310783717388,,0.046629774,34.72621267,0.05,34.75,0.045932329,34.7257041,-1.7228180170059204,-1.9676098823547363,2.8,0.5,-4.854992842674255,-0.5,433846911.31503767,0.22385492258076542,0.30376648279712704
1758,1841,vihiga,ikengero,kenya,2009-12-18,10,2,3.1433369254656305,1.0,0.046629774,34.72621267,0.05,34.75,0.045932329,34.7257041,-1.7228180170059204,-1.9676098823547363,2.8,0.5,-4.854992842674255,-0.5,433846911.31503767,0.22385492258076542,0.30376648279712704
1759,1842,vihiga,ikengero,kenya,2009-12-17,2,1,-0.5295825932024651,1.0,0.046629774,34.72621267,0.05,34.75,0.045932329,34.7257041,-1.7228180170059204,-1.9676098823547363,2.8,0.5,-4.854992842674255,-0.5,433846911.31503767,0.22385492258076542,0.30376648279712704
1760,1843,vihiga,liamidi,kenya,2009-12-18,5,1,2.1562787686444405,1.0,-0.022113269,34.74408902,-0.0,34.75,-0.01474329,34.74166581,-1.7554056644439697,-1.9014470100402832,2.4,0.5,-4.222992300987244,-0.5,515684664.2325761,0.24668868186563797,-0.42880125456448914
1761,1844,vihiga,liamidi,kenya,2009-12-18,6,1,3.348243022777732,1.0,-0.022113269,34.74408902,-0.0,34.75,-0.01474329,34.74166581,-1.7554056644439697,-1.9014470100402832,2.4,0.5,-4.222992300987244,-0.5,515684664.2325761,0.24668868186563797,-0.42880125456448914
1762,1845,vihiga,magina,kenya,2009-12-18,5,0,1.2546026062012907,1.0,-0.960800433,36.62619657,-0.95,36.65,-0.978652712,36.65254242,-1.605521866253444,-1.6995202813829695,2.047619047619048,0.9,-3.3781896999904086,-0.23333333333333328,335047019.8699861,0.2219240394056005,1.0125399192117348
1763,1846,vihiga,liamidi,kenya,2009-12-17,9,3,2.896120320094466,1.0,-0.022113269,34.74408902,-0.0,34.75,-0.01474329,34.74166581,-1.7554056644439697,-1.9014470100402832,2.4,0.5,-4.222992300987244,-0.5,515684664.2325761,0.24668868186563797,-0.42880125456448914
1764,1847,vihiga,liamidi,kenya,2009-12-17,5,1,3.6828840078188914,1.0,-0.022113269,34.74408902,-0.0,34.75,-0.01474329,34.74166581,-1.7554056644439697,-1.9014470100402832,2.4,0.5,-4.222992300987244,-0.5,515684664.2325761,0.24668868186563797,-0.42880125456448914
1765,1848,vihiga,liamidi,kenya,2009-12-17,8,2,2.140725415194359,1.0,-0.022113269,34.74408902,-0.0,34.75,-0.01474329,34.74166581,-1.7554056644439697,-1.9014470100402832,2.4,0.5,-4.222992300987244,-0.5,515684664.2325761,0.24668868186563797,-0.42880125456448914
1766,1849,vihiga,liamidi,kenya,2009-12-17,3,0,1.574203880044166,,-0.022113269,34.74408902,-0.0,34.75,-0.01474329,34.74166581,-1.7554056644439697,-1.9014470100402832,2.4,0.5,-4.222992300987244,-0.5,515684664.2325761,0.24668868186563797,-0.42880125456448914
1767,1850,vihiga,ikengero,kenya,2009-12-18,11,1,0.2943986193551201,1.0,0.046629774,34.72621267,0.05,34.75,0.045932329,34.7257041,-1.7228180170059204,-1.9676098823547363,2.8,0.5,-4.854992842674255,-0.5,433846911.31503767,0.22385492258076542,0.30376648279712704
1768,1851,vihiga,liamidi,kenya,2009-12-14,6,0,3.173416347862196,,-0.022113269,34.74408902,-0.0,34.75,-0.01474329,34.74166581,-1.7554056644439697,-1.9014470100402832,2.4,0.5,-4.222992300987244,-0.5,515684664.2325761,0.24668868186563797,-0.42880125456448914
1769,1852,vihiga,magina,kenya,2009-12-14,6,1,2.669226463436545,0.0,-0.960800433,36.62619657,-0.95,36.65,-0.978652712,36.65254242,-1.605521866253444,-1.6995202813829695,2.047619047619048,0.9,-3.3781896999904086,-0.23333333333333328,335047019.8699861,0.2219240394056005,1.0125399192117348
1770,1853,vihiga,magina,kenya,2009-12-14,5,0,2.8027770833051355,,-0.960800433,36.62619657,-0.95,36.65,-0.978652712,36.65254242,-1.605521866253444,-1.6995202813829695,2.047619047619048,0.9,-3.3781896999904086,-0.23333333333333328,335047019.8699861,0.2219240394056005,1.0125399192117348
1771,1854,vihiga,magina,kenya,2009-12-14,5,0,2.181344953974912,,-0.960800433,36.62619657,-0.95,36.65,-0.978652712,36.65254242,-1.605521866253444,-1.6995202813829695,2.047619047619048,0.9,-3.3781896999904086,-0.23333333333333328,335047019.8699861,0.2219240394056005,1.0125399192117348
1772,1855,vihiga,liamidi,kenya,2009-12-14,8,0,3.728003141413739,,-0.022113269,34.74408902,-0.0,34.75,-0.01474329,34.74166581,-1.7554056644439697,-1.9014470100402832,2.4,0.5,-4.222992300987244,-0.5,515684664.2325761,0.24668868186563797,-0.42880125456448914
1773,1856,vihiga,liamidi,kenya,2009-12-14,1,4,3.6197172207861033,1.0,-0.022113269,34.74408902,-0.0,34.75,-0.01474329,34.74166581,-1.7554056644439697,-1.9014470100402832,2.4,0.5,-4.222992300987244,-0.5,515684664.2325761,0.24668868186563797,-0.42880125456448914
1774,1857,vihiga,liamidi,kenya,2009-12-14,5,1,3.0681383694742164,0.0,-0.022113269,34.74408902,-0.0,34.75,-0.01474329,34.74166581,-1.7554056644439697,-1.9014470100402832,2.4,0.5,-4.222992300987244,-0.5,515684664.2325761,0.24668868186563797,-0.42880125456448914
1775,1858,vihiga,liamidi,kenya,2009-12-14,6,0,2.520999176082164,1.0,-0.022113269,34.74408902,-0.0,34.75,-0.01474329,34.74166581,-1.7554056644439697,-1.9014470100402832,2.4,0.5,-4.222992300987244,-0.5,515684664.2325761,0.24668868186563797,-0.42880125456448914
1776,1859,vihiga,magina,kenya,2009-12-20,2,1,0.5579719208796532,1.0,-0.960800433,36.62619657,-0.95,36.65,-0.978652712,36.65254242,-1.605521866253444,-1.6995202813829695,2.047619047619048,0.9,-3.3781896999904086,-0.23333333333333328,335047019.8699861,0.2219240394056005,1.0125399192117348
1777,1860,vihiga,magina,kenya,2009-12-20,7,6,-0.531470492382264,1.0,-0.960800433,36.62619657,-0.95,36.65,-0.978652712,36.65254242,-1.605521866253444,-1.6995202813829695,2.047619047619048,0.9,-3.3781896999904086,-0.23333333333333328,335047019.8699861,0.2219240394056005,1.0125399192117348
1778,1861,vihiga,ikengero,kenya,2009-12-19,4,2,1.182706149622018,1.0,0.046629774,34.72621267,0.05,34.75,0.045932329,34.7257041,-1.7228180170059204,-1.9676098823547363,2.8,0.5,-4.854992842674255,-0.5,433846911.31503767,0.22385492258076542,0.30376648279712704
1779,1862,vihiga,magina,kenya,2009-12-20,3,1,2.787737372106853,1.0,-0.960800433,36.62619657,-0.95,36.65,-0.978652712,36.65254242,-1.605521866253444,-1.6995202813829695,2.047619047619048,0.9,-3.3781896999904086,-0.23333333333333328,335047019.8699861,0.2219240394056005,1.0125399192117348
