house,census_tract,district,country,date,wealth_index,hh_size,migrant_num,any_remit,migrant_hh,migrant_loc,hh_months,remit,lat,long
147,masese,jinja,uganda,2010-02-13,-0.829671548133718,4,0,NA,NA,NA,NA,NA,0.447,33.22827
148,masese,jinja,uganda,2010-02-12,0.109173159161197,3,0,NA,NA,NA,NA,NA,0.447,33.22827
149,masese,jinja,uganda,2010-02-12,0.13380637978386,6,0,NA,NA,NA,NA,NA,0.447,33.22827
150,masese,jinja,uganda,2010-02-12,0.0924286444746228,10,1,1,hh,international,360,1,0.447,33.22827
151,barracks zone c,kampala,uganda,2010-02-18,3.14776372917691,2,0,NA,NA,NA,NA,NA,0.273034,32.61746
152,barracks zone c,kampala,uganda,2010-02-18,3.60564171179916,3,4,NA,hh,international,24,NA,0.273034,32.61746
152,barracks zone c,kampala,uganda,2010-02-18,3.60564171179916,3,4,NA,hh,international,60,NA,0.273034,32.61746
152,barracks zone c,kampala,uganda,2010-02-18,3.60564171179916,3,4,NA,hh,international,84,NA,0.273034,32.61746
152,barracks zone c,kampala,uganda,2010-02-18,3.60564171179916,3,4,NA,hh,international,24,NA,0.273034,32.61746
153,barracks zone c,kampala,uganda,2010-02-18,2.52612302267354,3,4,NA,hh,international,120,NA,0.273034,32.61746
153,barracks zone c,kampala,uganda,2010-02-18,2.52612302267354,3,4,NA,hh,national,216,NA,0.273034,32.61746
153,barracks zone c,kampala,uganda,2010-02-18,2.52612302267354,3,4,NA,hh,national,288,NA,0.273034,32.61746
153,barracks zone c,kampala,uganda,2010-02-18,2.52612302267354,3,4,NA,hh,national,312,NA,0.273034,32.61746
154,barracks zone c,kampala,uganda,2010-02-18,2.42805574549788,2,0,NA,NA,NA,NA,NA,0.273034,32.61746
155,barracks zone c,kampala,uganda,2010-02-18,4.16308134957009,2,0,NA,NA,NA,NA,NA,0.273034,32.61746
156,barracks zone c,kampala,uganda,2010-02-18,3.51980896768777,6,3,1,hh,national,27,1,0.273034,32.61746
156,barracks zone c,kampala,uganda,2010-02-18,3.51980896768777,6,3,1,hh,national,96,NA,0.273034,32.61746
156,barracks zone c,kampala,uganda,2010-02-18,3.51980896768777,6,3,1,hh,national,111,NA,0.273034,32.61746
157,barracks zone c,kampala,uganda,2010-02-18,3.00531704954506,4,2,NA,hh,national,36,NA,0.273034,32.61746
157,barracks zone c,kampala,uganda,2010-02-18,3.00531704954506,4,2,NA,hh,national,24,NA,0.273034,32.61746
158,barracks zone c,kampala,uganda,2010-02-18,2.13756340850189,5,0,NA,NA,NA,NA,NA,0.273034,32.61746
159,barracks zone c,kampala,uganda,2010-02-18,2.74241683539388,5,0,NA,NA,NA,NA,NA,0.273034,32.61746
160,barracks zone c,kampala,uganda,2010-02-18,3.57989188856574,12,9,1,hh,national,24,1,0.273034,32.61746
160,barracks zone c,kampala,uganda,2010-02-18,3.57989188856574,12,9,1,hh,national,36,1,0.273034,32.61746
160,barracks zone c,kampala,uganda,2010-02-18,3.57989188856574,12,9,1,hh,international,84,1,0.273034,32.61746
160,barracks zone c,kampala,uganda,2010-02-18,3.57989188856574,12,9,1,hh,international,72,1,0.273034,32.61746
160,barracks zone c,kampala,uganda,2010-02-18,3.57989188856574,12,9,1,hh,international,96,1,0.273034,32.61746
160,barracks zone c,kampala,uganda,2010-02-18,3.57989188856574,12,9,1,hh,international,84,1,0.273034,32.61746
