house,department,census_tract,country,hh_size,migrant_num,wealth_index,remit,lat,long
884,bambeye,leona sud,senegal,5,0,-2.40940857377954,NA,14.69755622,-16.45053577
1352,matam,agnam civol,senegal,9,2,-2.18112031599157,1,16.00801046,-13.68783836
481,mbour,darou salam,senegal,6,0,-2.29760451952042,NA,15.44284137,-14.05528102
486,mbour,darou salam,senegal,5,0,-2.21994838383452,NA,15.44284137,-14.05528102
1591,kanel,sorry,senegal,4,0,-3.70833895554832,NA,15.20066949,-12.94539215
1457,kanel,medina torobe,senegal,6,0,-3.74066963385058,NA,15.41865156,-13.18384815
1335,kanel,aoure,senegal,6,1,-4.3325122300979,1,15.14596428,-12.94689277
1671,kaffrine,darou nandjigui,senegal,6,1,-2.25387193204463,1,14.1046257,-15.54985414
1383,matam,nguidjilogne somona,senegal,8,0,-3.4210813680143,NA,15.9373344,-13.35219736
1400,matam,boynadji roumbe,senegal,2,2,-2.35374428879049,1,NA,NA
917,bambeye,paye baridian,senegal,5,3,-1.68791471435927,1,14.71688363,-17.46683875
707,tiwaouane,khandane,senegal,13,4,-3.20968372212408,1,NA,NA
1071,kebemer,affe 2h1peul affe,senegal,7,0,-2.01964174465986,NA,15.80634938,-16.29988776
1450,kanel,medina torobe,senegal,6,3,-4.24348499414439,1,15.41865156,-13.18384815
1486,matam,ndiakir,senegal,12,4,-2.87814199125434,1,16.02259398,-13.70369001
1571,ranerou,zoumboul samba abdou,senegal,15,0,-3.1941524949869,NA,15.00226737,-14.67912165
1600,kanel,sorry,senegal,5,1,-4.64313677284149,1,15.20066949,-12.94539215
909,bambeye,ndiayalla,senegal,8,1,-3.22003787354886,1,14.97599298,-16.44924477
1859,podor,fanaye,senegal,16,2,-3.88994237119209,0,16.52599054,-15.22269493
1661,kaffrine,darou nandjigui,senegal,9,2,-2.34239244596737,1,14.1046257,-15.54985414
1670,kaffrine,darou nandjigui,senegal,12,2,-3.17258173381943,0,14.1046257,-15.54985414
1656,kaffrine,darou nandjigui,senegal,17,0,-2.99610099913642,NA,14.1046257,-15.54985414
1925,podor,namaye,senegal,7,0,-4.36191871933776,NA,16.42777753,-14.09801568
783,mbacke,guede bousso,senegal,9,2,-2.31969911195251,0,14.89820198,-15.86724177
1663,kaffrine,darou nandjigui,senegal,14,1,-2.3990813271767,1,14.1046257,-15.54985414
1639,nioro,keur birame ba,senegal,8,1,-2.67885230092251,1,13.78607662,-15.79470889
745,diourbel,medinatoul,senegal,1,0,-1.3408148515304,NA,14.73727345,-16.24237956
1659,kaffrine,nandjigui,senegal,9,1,-3.20598145076492,1,14.1046257,-15.54985414
1599,kanel,sorry,senegal,4,1,-1.7396854714832,1,15.20066949,-12.94539215
1601,kanel,sorry,senegal,6,1,-3.1008991564096,1,15.20066949,-12.94539215
1641,nioro,keur amath drame,senegal,7,1,-3.50658749328992,1,13.78607662,-15.79470889
1605,kanel,sorry,senegal,6,1,-3.79906454644483,1,15.20066949,-12.94539215
1589,kanel,sony,senegal,18,0,-3.61978470283499,NA,15.20066949,-12.94539215
1598,kanel,sorry,senegal,8,1,-3.75518391214493,1,15.20066949,-12.94539215
1447,kanel,medina torobe,senegal,13,0,-3.67854472530186,NA,15.41865156,-13.18384815
1655,kaffrine,darou nandjigui,senegal,15,0,-2.01148194638385,NA,14.1046257,-15.54985414
480,mbour,darou salam,senegal,6,1,-1.13224567234449,1,15.44284137,-14.05528102
1653,kaffrine,nandjigui,senegal,7,0,-3.07162875742776,NA,14.1046257,-15.54985414
1579,ranerou,loumbol samba abdou,senegal,11,1,-3.84421114809844,0,15.00226737,-14.67912165
1631,nioro,samba malick,senegal,10,0,-2.53861109622625,NA,13.78607662,-15.79470889
341,thies,mbour i,senegal,6,0,-1.57619063576302,NA,14.68562239,-17.45034661
1667,kaffrine,nandjigui,senegal,8,1,-3.11045682527071,1,14.1046257,-15.54985414
1464,kanel,medina torobe,senegal,4,3,-3.49633012652527,1,15.41865156,-13.18384815
58,pikine,ousmane faye 05,senegal,8,0,-1.44287021508808,NA,14.8268,-17.27016
1503,matam,diamel,senegal,4,1,-3.49633012652527,1,15.83897387,-13.22043021
1596,kanel,sorry,senegal,5,1,-2.75622943682803,1,15.20066949,-12.94539215
1669,kaffrine,darou nandjigui,senegal,7,2,-3.3434252323284,1,14.1046257,-15.54985414
1433,matam,golere,senegal,9,1,-3.32747291566184,1,16.24895647,-14.10938504
1456,kanel,medina torobe,senegal,7,2,-3.61281433005411,1,15.41865156,-13.18384815
1921,podor,nanaye,senegal,7,1,-2.33264180123349,1,16.24874342,-14.10811085
1331,kanel,aoure,senegal,8,1,-4.28074147297397,1,15.14596428,-12.94689277
479,mbour,darou salam,senegal,8,0,-1.13224567234449,NA,15.44284137,-14.05528102
1469,matam,asnde balla,senegal,5,0,-2.61919142097455,NA,14.47940917,-14.51631588
1593,kanel,sorry,senegal,5,0,-3.06472560217707,NA,15.20066949,-12.94539215
1460,kanel,medina torobe,senegal,4,0,-3.01295484505314,1,15.41865156,-13.18384815
3035,dakar,liberte 6,senegal,5,0,-1.30731834992478,1,14.73104,-17.46105
1877,podor,dodele,senegal,8,1,-1.7396854714832,1,16.50354464,-14.42019001
