house,district,census_tract,country,date,hh_size,migrant_num,wealth_index,remit,lat,long,lat_regrid,long_regrid,intensity,magnitude,duration,frequency,severity,dispersion
42,nakuru,section 58,kenya,11/9/2009,4,4,-1.686951928,0,-0.283812727,36.09431466,-0.3,36.1,-1.63512212,-1.722532287,2,0.833333333,-3.318107352,-0.433333333
43,nakuru,section 58,kenya,11/9/2009,6,4,-2.265726549,1,-0.283812727,36.09431466,-0.3,36.1,-1.63512212,-1.722532287,2,0.833333333,-3.318107352,-0.433333333
44,kisii,bomakombi,kenya,11/10/2009,5,0,1.021741343,,-0.70441522,34.69546123,-0.7,34.7,-1.732563655,-1.90542086,2.666666667,0.5,-4.709439913,-0.5
45,kisii,bomakombi,kenya,11/10/2009,1,0,0.140843215,,-0.70441522,34.69546123,-0.7,34.7,-1.732563655,-1.90542086,2.666666667,0.5,-4.709439913,-0.5
46,kisii,bonyanchaire,kenya,11/9/2009,5,0,-0.519108962,,-0.678288351,34.70904985,-0.7,34.7,-1.732563655,-1.90542086,2.666666667,0.5,-4.709439913,-0.5
47,kisii,bonyanchaire,kenya,11/8/2009,6,0,3.182537202,1,-0.678288351,34.70904985,-0.7,34.7,-1.732563655,-1.90542086,2.666666667,0.5,-4.709439913,-0.5
48,kisii,bomakombi,kenya,11/10/2009,6,0,1.812343324,,-0.70441522,34.69546123,-0.7,34.7,-1.732563655,-1.90542086,2.666666667,0.5,-4.709439913,-0.5
49,kisii,bonyanchaire,kenya,11/8/2009,4,0,3.332934314,,-0.678288351,34.70904985,-0.7,34.7,-1.732563655,-1.90542086,2.666666667,0.5,-4.709439913,-0.5
50,kisii,bonyanchaire,kenya,11/8/2009,6,0,1.068270799,1,-0.678288351,34.70904985,-0.7,34.7,-1.732563655,-1.90542086,2.666666667,0.5,-4.709439913,-0.5
51,kisii,bonyanchaire,kenya,11/8/2009,5,0,0.49414113,,-0.678288351,34.70904985,-0.7,34.7,-1.732563655,-1.90542086,2.666666667,0.5,-4.709439913,-0.5
52,kisii,bonyanchaire,kenya,11/8/2009,4,0,1.649402436,,-0.678288351,34.70904985,-0.7,34.7,-1.732563655,-1.90542086,2.666666667,0.5,-4.709439913,-0.5
53,kisii,bonyanchaire,kenya,11/8/2009,5,0,3.143336925,,-0.678288351,34.70904985,-0.7,34.7,-1.732563655,-1.90542086,2.666666667,0.5,-4.709439913,-0.5
54,kisii,bomakombi,kenya,11/9/2009,2,0,0.149770014,1,-0.70441522,34.69546123,-0.7,34.7,-1.732563655,-1.90542086,2.666666667,0.5,-4.709439913,-0.5
55,kisii,bomakombi,kenya,11/10/2009,5,0,0.840822121,1,-0.70441522,34.69546123,-0.7,34.7,-1.732563655,-1.90542086,2.666666667,0.5,-4.709439913,-0.5
56,kisii,bomakombi,kenya,11/8/2009,4,0,3.073151607,,-0.70441522,34.69546123,-0.7,34.7,-1.732563655,-1.90542086,2.666666667,0.5,-4.709439913,-0.5
57,kisii,bomakombi,kenya,11/9/2009,2,0,3.548432227,1,-0.70441522,34.69546123,-0.7,34.7,-1.732563655,-1.90542086,2.666666667,0.5,-4.709439913,-0.5
58,kisii,bomakombi,kenya,11/9/2009,5,0,2.431666529,,-0.70441522,34.69546123,-0.7,34.7,-1.732563655,-1.90542086,2.666666667,0.5,-4.709439913,-0.5
59,kisii,bomakombi,kenya,11/8/2009,6,0,3.212616624,,-0.70441522,34.69546123,-0.7,34.7,-1.732563655,-1.90542086,2.666666667,0.5,-4.709439913,-0.5
60,kisii,nyokabaria,kenya,11/8/2009,6,3,0.168593329,1,-0.674091366,34.77188889,-0.65,34.75,-1.669518083,-1.810628504,2.25,0.666666667,-3.939295411,-0.666666667
