house,country,hh_size,migrant_num,wealth_index,remit,municipality,lat,long,district
138,south_africa,2,0,0.0195864896573871,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
139,south_africa,3,0,-0.6817457366131016,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
140,south_africa,3,0,-0.7202750298087616,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
141,south_africa,4,0,-0.05896421160260268,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
144,south_africa,4,0,0.8305438386902965,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
147,south_africa,6,0,-2.3671475056169116,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
148,south_africa,1,0,-1.321796829415647,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
149,south_africa,5,0,-0.6176537808441724,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
150,south_africa,1,0,-0.4702817787497735,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
151,south_africa,1,2,-1.9075411760991556,1,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
152,south_africa,7,0,-3.0798619282093718,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
153,south_africa,6,0,-2.4442060920082316,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
154,south_africa,2,0,-2.290088919225591,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
155,south_africa,1,0,-2.0010417187308907,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
156,south_africa,2,0,-0.8969136544546996,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
157,south_africa,5,0,1.336944309442104,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
158,south_africa,4,0,0.480445893136638,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
159,south_africa,4,0,0.7127421971909307,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
160,south_africa,2,0,1.813914827866143,1,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
161,south_africa,4,0,-0.11934835952469547,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
162,south_africa,5,0,0.2769847378637549,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
163,south_africa,5,0,0.30267093332752837,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
164,south_africa,5,0,1.292910831504207,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
165,south_africa,5,0,-0.2836804154211996,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
166,south_africa,8,0,-0.8422069567344348,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
168,south_africa,5,0,-1.4062535926846038,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
169,south_africa,5,0,-1.24367729321564,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
170,south_africa,1,0,-1.3159622823394919,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
171,south_africa,7,0,0.6819187626344027,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
172,south_africa,5,0,0.8834238189525029,1,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
173,south_africa,4,0,1.9110363610837344,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
174,south_africa,7,0,-0.17585798954499698,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
175,south_africa,5,0,0.8745773166281937,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
176,south_africa,3,0,1.822812145304279,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
177,south_africa,2,0,-1.9950133284355103,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
178,south_africa,5,0,0.29618338006197753,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
179,south_africa,3,0,-1.398855415806967,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
180,south_africa,1,0,-2.7087179923400724,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
181,south_africa,3,0,-1.398855415806967,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
182,south_africa,3,0,-3.016952337905353,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
183,south_africa,4,0,-1.7841483477635676,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
184,south_africa,1,0,-2.1551588915135307,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
185,south_africa,9,0,-2.133579696180361,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
186,south_africa,1,0,-2.7087179923400724,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
187,south_africa,1,0,-3.4268818010728817,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
188,south_africa,3,0,-1.5147373862079732,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
189,south_africa,2,0,1.4310408156547034,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
190,south_africa,4,0,-2.337707448590109,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
191,south_africa,2,0,-1.3157684391202664,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
192,south_africa,4,0,-1.4748530523896004,1,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
193,south_africa,5,0,-1.201813693227262,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
194,south_africa,5,0,-1.9591781187425126,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
195,south_africa,8,0,-1.5377626426936197,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
196,south_africa,10,0,0.06545007150384197,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
197,south_africa,4,0,-0.7394621748793414,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
198,south_africa,4,0,-0.18590307405279985,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
199,south_africa,2,0,0.0195864896573871,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
200,south_africa,5,0,0.722807595776669,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
201,south_africa,5,0,0.7549928416336359,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
202,south_africa,4,0,1.1104679297927442,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
204,south_africa,3,0,-1.398855415806967,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
205,south_africa,5,0,0.657084517782576,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
206,south_africa,8,0,0.7036204507060893,1,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
207,south_africa,6,0,-0.18590307405279985,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
208,south_africa,3,0,-0.03178590127015965,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
