house,district,census_tract,country,hh_size,migrant_num,wealth_index,remit,lat,long
177,kamuli,bubaale b,senegal,7,1,0.116794141304932,1,0.70551,33.21661
178,kamuli,bubaale b,senegal,5,0,-0.444726537908619,NA,0.70551,33.21661
179,kamuli,bubaale b,senegal,12,4,-1.2782025377648,1,0.70551,33.21661
180,kamuli,bubaale b,senegal,9,0,-0.202720008366707,NA,0.70551,33.21661
181,bushenyi,nyakashojwa,senegal,9,0,-1.48643914982937,NA,-0.45022,30.15452
183,bushenyi,nyakashojwa,senegal,8,0,-0.821462516987852,NA,-0.45022,30.15452
184,bushenyi,nyakashojwa,senegal,7,0,-2.29322352831283,NA,-0.45022,30.15452
185,bushenyi,nyakashojwa,senegal,3,1,-1.29043707082906,0,-0.45022,30.15452
186,bushenyi,nyakashojwa,senegal,9,1,-1.48643914982937,0,-0.45022,30.15452
187,bushenyi,nyakashojwa,senegal,9,2,-1.48643914982937,1,-0.45022,30.15452
188,bushenyi,nyakashojwa,senegal,4,1,-2.04795982904293,1,-0.45022,30.15452
189,bushenyi,nyakashojwa,senegal,6,1,-0.0739708921996193,1,-0.45022,30.15452
190,bushenyi,nyakashojwa,senegal,5,0,1.86264203971694,NA,-0.45022,30.15452
192,kamuli,buluuta,senegal,2,0,-1.71097410081126,NA,0.76194,33.36393
193,kamuli,buluuta,senegal,5,1,-1.31189525685691,0,0.76194,33.36393
194,kamuli,buluuta,senegal,8,1,-1.89694504638594,0,0.76194,33.36393
195,kamuli,buluuta,senegal,5,0,-1.63376804727463,NA,0.76194,33.36393
196,kamuli,buluuta,senegal,6,0,0.127450746282611,NA,0.76194,33.36393
197,kamuli,buluuta,senegal,6,0,-1.33335344288476,NA,0.76194,33.36393
199,kamuli,buluuta,senegal,11,1,-1.440644373024,1,0.76194,33.36393
200,kamuli,buluuta,senegal,12,1,-1.87405631462291,0,0.76194,33.36393
201,kabarole,muhangi,senegal,4,0,-1.96212708493153,NA,0.63333,30.48333
202,kabarole,muhangi,senegal,4,3,-1.34338457631039,1,0.63333,30.48333
203,kabarole,muhangi,senegal,9,0,-2.13379257315432,NA,0.63333,30.48333
204,kabarole,muhangi,senegal,5,0,-2.44703867299727,NA,0.63333,30.48333
205,kabarole,muhangi,senegal,3,0,-2.46849685902512,NA,0.63333,30.48333
206,kabarole,muhangi,senegal,7,1,-0.657389104856021,1,0.63333,30.48333
207,kabarole,muhangi,senegal,7,0,-1.37914821969013,NA,0.63333,30.48333
208,kabarole,muhangi,senegal,4,0,-1.94496053610926,NA,0.63333,30.48333
209,kabarole,muhangi,senegal,9,4,-1.35769003366229,0,0.63333,30.48333
210,kabarole,muhangi,senegal,1,0,-1.91921071287584,NA,0.63333,30.48333
211,kasese,mughete,senegal,6,7,-1.63969814720664,1,0.09829,29.94447
212,kasese,mughete,senegal,3,0,-2.0516519027777,NA,0.09829,29.94447
213,kasese,mughete,senegal,9,3,-1.35910326611818,1,0.09829,29.94447
214,kasese,mughete,senegal,6,0,-0.346404533012646,NA,0.09829,29.94447
215,kasese,mughete,senegal,3,0,-0.745483376966995,NA,0.09829,29.94447
216,kasese,mughete,senegal,1,0,-1.57961522632867,NA,0.09829,29.94447
217,kasese,mughete,senegal,1,0,-0.893619754874298,NA,0.09829,29.94447
218,kasese,mughete,senegal,1,0,-1.29671496542363,NA,0.09829,29.94447
219,kasese,mughete,senegal,3,0,-0.864712210325364,NA,0.09829,29.94447
220,kasese,mughete,senegal,5,5,-1.64398978441221,1,0.09829,29.94447
221,kamuli,mukasa/dening,senegal,3,0,2.90777984032757,1,0.93199,34.29049
222,kamuli,mukasa/dening,senegal,5,2,1.24740402622381,0,0.93199,34.29049
224,kamuli,mukasa/dening,senegal,7,0,1.24346018368079,NA,0.93199,34.29049
225,kamuli,mukasa/dening,senegal,10,1,1.82010765958031,1,0.93199,34.29049
226,kamuli,mukasa/dening,senegal,5,0,2.39147076278407,NA,0.93199,34.29049
