house,district,census_tract,country,hh_size,migrant_num,wealth_index,remit,lat,long,lat_regrid,long_regrid,intensity,magnitude,duration,frequency,severity,dispersion
92,akwa ibom,afaha offot,nigeria,9,2,1.151678020675579,0,5.03333,7.88333,5.05,7.9,-1.511596441,-1.51970154,1.5,0.3333333333333333,-2.347505093,-0.333333333
93,akwa ibom,afaha offot,nigeria,6,0,0.9111478145278228,,5.03333,7.88333,5.05,7.9,-1.511596441,-1.51970154,1.5,0.3333333333333333,-2.347505093,-0.333333333
94,akwa ibom,afaha offot,nigeria,10,1,0.7256965878069191,0,5.03333,7.88333,5.05,7.9,-1.511596441,-1.51970154,1.5,0.3333333333333333,-2.347505093,-0.333333333
95,akwa ibom,afaha offot,nigeria,8,2,1.1339630571806625,1,5.03333,7.88333,5.05,7.9,-1.511596441,-1.51970154,1.5,0.3333333333333333,-2.347505093,-0.333333333
96,akwa ibom,afaha offot,nigeria,6,0,0.6806039534562224,,5.03333,7.88333,5.05,7.9,-1.511596441,-1.51970154,1.5,0.3333333333333333,-2.347505093,-0.333333333
97,akwa ibom,afaha offot,nigeria,11,5,1.3126919011189764,1,5.03333,7.88333,5.05,7.9,-1.511596441,-1.51970154,1.5,0.3333333333333333,-2.347505093,-0.333333333
98,akwa ibom,afaha offot,nigeria,6,0,1.6744320795241014,,5.03333,7.88333,5.05,7.9,-1.511596441,-1.51970154,1.5,0.3333333333333333,-2.347505093,-0.333333333
99,akwa ibom,afaha offot,nigeria,6,0,0.860974491,,5.03333,7.88333,5.05,7.9,-1.511596441,-1.51970154,1.5,0.3333333333333333,-2.347505093,-0.333333333
100,akwa ibom,afaha offot,nigeria,9,2,1.4891486232157851,1,5.03333,7.88333,5.05,7.9,-1.511596441,-1.51970154,1.5,0.3333333333333333,-2.347505093,-0.333333333
101,akwa ibom,afaha offot,nigeria,3,1,1.0197650596055956,1,5.03333,7.88333,5.05,7.9,-1.511596441,-1.51970154,1.5,0.3333333333333333,-2.347505093,-0.333333333
102,akwa ibom,afaha offot,nigeria,6,0,1.3350564998937298,,5.03333,7.88333,5.05,7.9,-1.511596441,-1.51970154,1.5,0.3333333333333333,-2.347505093,-0.333333333
